https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume THETA,Volume USDT
1660003200,2022-08-09 00:00:00,THETA/USDT,1.6178,1.6511,1.484,1.5234,3390346.20647296,5297282.481883557341
1659916800,2022-08-08 00:00:00,THETA/USDT,1.6608,1.7189,1.5821,1.6174,3383982.23941288,5605821.912851050344
1659830400,2022-08-07 00:00:00,THETA/USDT,1.5522,1.6999,1.511,1.6615,3867946.47357889,6321783.684377525115
1659744000,2022-08-06 00:00:00,THETA/USDT,1.6323,1.6355,1.5281,1.5528,2587522.0179581,4082085.66412221597
1659657600,2022-08-05 00:00:00,THETA/USDT,1.4162,1.68,1.4083,1.6313,5616216.97763588,8735558.370473186834
1659571200,2022-08-04 00:00:00,THETA/USDT,1.3812,1.4518,1.3661,1.4134,3014960.94041113,4234893.968238502822
1659484800,2022-08-03 00:00:00,THETA/USDT,1.3693,1.439,1.3218,1.3811,3027301.08953856,4216167.770933705563
1659398400,2022-08-02 00:00:00,THETA/USDT,1.4818,1.5775,1.35,1.3695,6252445.24380822,8985268.535969666568
1659312000,2022-08-01 00:00:00,THETA/USDT,1.3372,1.4972,1.3131,1.4816,4087617.34983655,5705373.219038191244
1659225600,2022-07-31 00:00:00,THETA/USDT,1.3896,1.4489,1.3209,1.3376,2779396.50626946,3877401.777767312582
1659139200,2022-07-30 00:00:00,THETA/USDT,1.4162,1.5,1.37,1.3886,5060893.15262057,7371674.582396855313
1659052800,2022-07-29 00:00:00,THETA/USDT,1.346,1.4755,1.3459,1.414,3978292.04807705,5653704.198978127492
1658966400,2022-07-28 00:00:00,THETA/USDT,1.2789,1.3691,1.248,1.3461,3115071.53954983,4106293.202169502476
1658880000,2022-07-27 00:00:00,THETA/USDT,1.196,1.2811,1.172,1.2788,1557672.2535501,1902837.214023863028
1658793600,2022-07-26 00:00:00,THETA/USDT,1.1624,1.1989,1.139,1.1956,1468818.5919829,1704952.802771451768
1658707200,2022-07-25 00:00:00,THETA/USDT,1.2881,1.3007,1.16,1.1623,2113382.39730876,2586343.612902498213
1658620800,2022-07-24 00:00:00,THETA/USDT,1.2987,1.3437,1.2816,1.2881,1547319.96715631,2033833.131892852647
1658534400,2022-07-23 00:00:00,THETA/USDT,1.2236,1.3182,1.2124,1.2983,1856166.5559021,2381766.452957996218
1658448000,2022-07-22 00:00:00,THETA/USDT,1.2555,1.3096,1.21,1.2235,971704.34382946,1228531.756005765696
1658361600,2022-07-21 00:00:00,THETA/USDT,1.229,1.3325,1.1919,1.2562,1923802.39521889,2401207.579142606213
1658275200,2022-07-20 00:00:00,THETA/USDT,1.3258,1.3641,1.2132,1.2292,2361723.68075516,3074797.023173514006
1658188800,2022-07-19 00:00:00,THETA/USDT,1.293,1.3523,1.2501,1.3245,3749259.235669,4921973.611769623796
1658102400,2022-07-18 00:00:00,THETA/USDT,1.202,1.2995,1.1879,1.2934,2496254.40289763,3137116.395520175142
1658016000,2022-07-17 00:00:00,THETA/USDT,1.1917,1.2128,1.1561,1.202,1438733.67048416,1706767.035609486316
1657929600,2022-07-16 00:00:00,THETA/USDT,1.1659,1.1967,1.1336,1.1923,1559170.63624287,1823867.499897703315
1657843200,2022-07-15 00:00:00,THETA/USDT,1.1655,1.1918,1.1442,1.1656,1203212.19310488,1406903.111711538076
1657756800,2022-07-14 00:00:00,THETA/USDT,1.1502,1.1724,1.0921,1.1655,2058344.58499007,2340967.150528083787
1657670400,2022-07-13 00:00:00,THETA/USDT,1.0868,1.1655,1.0537,1.1501,1520451.25679917,1680497.672798308324
1657584000,2022-07-12 00:00:00,THETA/USDT,1.138,1.1539,1.084,1.0866,1264837.11428492,1431879.705672543071
1657497600,2022-07-11 00:00:00,THETA/USDT,1.1948,1.1972,1.1292,1.1401,1448678.56534496,1699046.410530528244
1657411200,2022-07-10 00:00:00,THETA/USDT,1.2661,1.2705,1.1929,1.1954,1795381.75518065,2188719.291520607603
1657324800,2022-07-09 00:00:00,THETA/USDT,1.2412,1.2858,1.2409,1.2656,1112350.64510068,1412882.428378070399
1657238400,2022-07-08 00:00:00,THETA/USDT,1.2814,1.3105,1.2166,1.2419,1755689.7089316,2202250.566969058154
1657152000,2022-07-07 00:00:00,THETA/USDT,1.2264,1.298,1.2168,1.2802,2212921.72919845,2801902.220634648336
1657065600,2022-07-06 00:00:00,THETA/USDT,1.1999,1.2393,1.1799,1.2262,1417939.50773673,1717094.110523780486
1656979200,2022-07-05 00:00:00,THETA/USDT,1.2519,1.2697,1.1586,1.1994,2771731.34465227,3357057.541403740379
1656892800,2022-07-04 00:00:00,THETA/USDT,1.2178,1.2554,1.177,1.252,2790540.37837516,3385207.430786784066
1656806400,2022-07-03 00:00:00,THETA/USDT,1.1843,1.2315,1.1491,1.2172,2632559.78057312,3147691.814651801646
1656720000,2022-07-02 00:00:00,THETA/USDT,1.1707,1.1911,1.1354,1.1839,1686408.21376063,1965658.335083904836
1656633600,2022-07-01 00:00:00,THETA/USDT,1.1982,1.2294,1.1346,1.17,2505428.77589257,2938315.647982577141
1656547200,2022-06-30 00:00:00,THETA/USDT,1.235,1.2384,1.1061,1.1978,3014293.89492663,3490073.662258823897
1656460800,2022-06-29 00:00:00,THETA/USDT,1.2619,1.2875,1.2032,1.2362,2479003.74690948,3084536.741954729756
1656374400,2022-06-28 00:00:00,THETA/USDT,1.3303,1.3769,1.252,1.2632,2913060.50722902,3831094.434286837746
1656288000,2022-06-27 00:00:00,THETA/USDT,1.3347,1.416,1.29,1.3293,2336796.03492192,3156878.392260261883
1656201600,2022-06-26 00:00:00,THETA/USDT,1.4734,1.5097,1.3271,1.3355,4386431.27000923,6321905.194796595779
1656115200,2022-06-25 00:00:00,THETA/USDT,1.388,1.5513,1.3663,1.4728,3697671.01305485,5335075.060684973886
1656028800,2022-06-24 00:00:00,THETA/USDT,1.2963,1.4352,1.2907,1.3873,4007968.27373164,5514049.000947544422
1655942400,2022-06-23 00:00:00,THETA/USDT,1.2211,1.3132,1.2198,1.2964,2298924.3277297,2930470.248197170927
1655856000,2022-06-22 00:00:00,THETA/USDT,1.2722,1.2847,1.202,1.221,3659092.19564492,4536785.050523688572
1655769600,2022-06-21 00:00:00,THETA/USDT,1.2757,1.3962,1.2378,1.273,6301561.56853863,8258895.465655058042
1655683200,2022-06-20 00:00:00,THETA/USDT,1.2209,1.3335,1.2081,1.2755,5813089.22777433,7343062.045240916958
1655596800,2022-06-19 00:00:00,THETA/USDT,1.1583,1.2499,1.1081,1.2215,5485171.07861484,6408051.302248455347
1655510400,2022-06-18 00:00:00,THETA/USDT,1.2084,1.2664,1.0554,1.1583,6379698.21018054,7362098.664265494448
1655424000,2022-06-17 00:00:00,THETA/USDT,1.1934,1.276,1.1751,1.2082,5507849.31612279,6724414.574614957525
1655337600,2022-06-16 00:00:00,THETA/USDT,1.3413,1.3759,1.1249,1.1974,7857730.90672438,9670755.836135390729
1655251200,2022-06-15 00:00:00,THETA/USDT,1.145,1.3824,1.0244,1.3416,7163186.24906469,8102996.541019187503
1655164800,2022-06-14 00:00:00,THETA/USDT,1.1525,1.2243,1.0214,1.1457,6683378.03317789,7589106.138715663259
1655078400,2022-06-13 00:00:00,THETA/USDT,1.0821,1.2313,0.9577,1.1542,7788773.98951373,8302876.834001147043
1654992000,2022-06-12 00:00:00,THETA/USDT,1.216,1.2546,1.0808,1.0851,3953172.14458288,4551104.205978205025
1654905600,2022-06-11 00:00:00,THETA/USDT,1.309,1.4243,1.186,1.2157,3939975.55920994,5099487.475645858951
1654819200,2022-06-10 00:00:00,THETA/USDT,1.4195,1.4859,1.2784,1.3091,3893821.71667433,5318703.229264619983
1654732800,2022-06-09 00:00:00,THETA/USDT,1.3237,1.4727,1.305,1.4196,4567982.98170673,6412447.619910472778
1654646400,2022-06-08 00:00:00,THETA/USDT,1.2415,1.4056,1.224,1.3237,3420505.08419211,4567139.199702071034
1654560000,2022-06-07 00:00:00,THETA/USDT,1.3085,1.35,1.1843,1.2415,3212828.67429719,3960616.943281839058
1654473600,2022-06-06 00:00:00,THETA/USDT,1.21,1.394,1.2079,1.3093,3496349.43051544,4631933.348014233736
1654387200,2022-06-05 00:00:00,THETA/USDT,1.1971,1.2312,1.1712,1.2097,1426411.50893556,1711185.032998369287
1654300800,2022-06-04 00:00:00,THETA/USDT,1.1949,1.2172,1.1603,1.1965,1658542.18322126,1972696.793127778592
1654214400,2022-06-03 00:00:00,THETA/USDT,1.2434,1.2472,1.1588,1.1946,1363124.74155466,1631468.973453115341
1654128000,2022-06-02 00:00:00,THETA/USDT,1.199,1.2527,1.1701,1.2446,2469185.15899273,2980317.492866864365
1654041600,2022-06-01 00:00:00,THETA/USDT,1.3432,1.396,1.157,1.1994,4184581.87106876,5440596.099754527907
1653955200,2022-05-31 00:00:00,THETA/USDT,1.3289,1.4,1.2743,1.3423,4195486.17491995,5583517.40294887134
1653868800,2022-05-30 00:00:00,THETA/USDT,1.1727,1.3474,1.1469,1.3286,3224747.12847093,4016596.100035641489
1653782400,2022-05-29 00:00:00,THETA/USDT,1.1274,1.1793,1.082,1.1726,2179022.93697799,2451369.605860780407
1653696000,2022-05-28 00:00:00,THETA/USDT,1.099,1.1448,1.0749,1.1279,2306903.12622942,2578287.880036209223
1653609600,2022-05-27 00:00:00,THETA/USDT,1.1333,1.1538,1.0637,1.0977,2411380.01980503,2670238.540978766164
1653523200,2022-05-26 00:00:00,THETA/USDT,1.2353,1.2682,1.0511,1.1338,3786142.40959711,4401305.826056100326
1653436800,2022-05-25 00:00:00,THETA/USDT,1.2732,1.2942,1.2078,1.2353,2734741.39452598,3396830.898696913263
1653350400,2022-05-24 00:00:00,THETA/USDT,1.232,1.2782,1.172,1.2735,1815535.56611028,2235842.943909065236
1653264000,2022-05-23 00:00:00,THETA/USDT,1.3113,1.368,1.208,1.2314,3365681.6502112,4455556.813544362294
1653177600,2022-05-22 00:00:00,THETA/USDT,1.2508,1.3317,1.22,1.311,2252029.99182838,2882140.303006570577
1653091200,2022-05-21 00:00:00,THETA/USDT,1.2183,1.2686,1.1796,1.2507,1377215.82619106,1691502.404128697237
1653004800,2022-05-20 00:00:00,THETA/USDT,1.2841,1.3287,1.1835,1.2182,2318219.15257143,2908447.625300268713
1652918400,2022-05-19 00:00:00,THETA/USDT,1.216,1.3199,1.1539,1.2842,2295326.90653104,2854861.844700446144
1652832000,2022-05-18 00:00:00,THETA/USDT,1.3893,1.4278,1.205,1.2168,1538417.78433953,2000699.572649014695
1652745600,2022-05-17 00:00:00,THETA/USDT,1.3476,1.4265,1.2924,1.3892,1617894.31232645,2212773.419715238925
1652659200,2022-05-16 00:00:00,THETA/USDT,1.4754,1.4755,1.3031,1.3469,1504459.60593657,2041938.7464135059
1652572800,2022-05-15 00:00:00,THETA/USDT,1.4316,1.4806,1.3502,1.4754,1349136.38433058,1902274.747855366296
1652486400,2022-05-14 00:00:00,THETA/USDT,1.3991,1.515,1.2877,1.4322,1826237.28066219,2547847.204340812245
1652400000,2022-05-13 00:00:00,THETA/USDT,1.2098,1.5371,1.2004,1.3994,2410972.61756151,3425817.840734451606
1652313600,2022-05-12 00:00:00,THETA/USDT,1.3316,1.4163,1.0243,1.21,3962145.20229383,4812343.031497126114
1652227200,2022-05-11 00:00:00,THETA/USDT,1.779,1.8492,1.2366,1.334,4708699.87619179,7058263.821785201936
1652140800,2022-05-10 00:00:00,THETA/USDT,1.6779,1.9449,1.6028,1.7789,3094597.88755525,5578675.558457902145
1652054400,2022-05-09 00:00:00,THETA/USDT,2.0886,2.1556,1.6601,1.6814,3462743.19474361,6521903.415880146151
1651968000,2022-05-08 00:00:00,THETA/USDT,2.1087,2.1588,2.0354,2.0873,1141368.17169752,2396053.99412047076
1651881600,2022-05-07 00:00:00,THETA/USDT,2.2215,2.2318,2.0511,2.1084,1063770.01431608,2303176.062298547041
1651795200,2022-05-06 00:00:00,THETA/USDT,2.2951,2.3248,2.1518,2.2219,1385935.51994795,3087580.962570547832
1651708800,2022-05-05 00:00:00,THETA/USDT,2.6044,2.6415,2.21,2.2938,1962200.41164699,4737834.451235327659
1651622400,2022-05-04 00:00:00,THETA/USDT,2.3078,2.6108,2.2792,2.5973,1398561.45303541,3417318.367598117104
1651536000,2022-05-03 00:00:00,THETA/USDT,2.3142,2.4299,2.2338,2.3069,1140029.84470229,2664371.595294426582
1651449600,2022-05-02 00:00:00,THETA/USDT,2.3476,2.3842,2.2421,2.3141,1017315.77596551,2353319.090558273192
1651363200,2022-05-01 00:00:00,THETA/USDT,2.2072,2.3785,2.1598,2.3485,1029977.2284917,2338764.898965987987
1651276800,2022-04-30 00:00:00,THETA/USDT,2.5594,2.5965,2.1228,2.2074,1079783.17391233,2610940.128445345047
1651190400,2022-04-29 00:00:00,THETA/USDT,2.7668,2.7924,2.4742,2.5586,1190984.4813625,3128197.398634263022
1651104000,2022-04-28 00:00:00,THETA/USDT,2.8194,2.861,2.6948,2.7685,1226369.84537095,3405174.889608278978
1651017600,2022-04-27 00:00:00,THETA/USDT,2.7313,2.8431,2.7002,2.8203,1189739.99541813,3303506.732935802432
1650931200,2022-04-26 00:00:00,THETA/USDT,3.0288,3.1177,2.6656,2.7335,1795270.27189078,5239397.932084305879
1650844800,2022-04-25 00:00:00,THETA/USDT,2.9946,3.032,2.7675,3.0286,1514578.69660692,4391000.140832451477
1650758400,2022-04-24 00:00:00,THETA/USDT,3.1016,3.2054,2.951,2.9941,937510.87720375,2875659.421939657777
1650672000,2022-04-23 00:00:00,THETA/USDT,3.1273,3.1702,3.0344,3.1,983323.15073646,3058111.80620173381
1650585600,2022-04-22 00:00:00,THETA/USDT,3.2453,3.5,3.12,3.1284,2104447.68389274,6889396.893646752587
1650499200,2022-04-21 00:00:00,THETA/USDT,3.0949,3.5368,3.0902,3.2466,3215484.32086384,10765538.780933410019
1650412800,2022-04-20 00:00:00,THETA/USDT,3.1539,3.2136,3.0165,3.0963,1338130.93537403,4168426.199228031477
1650326400,2022-04-19 00:00:00,THETA/USDT,3.0406,3.1771,2.995,3.1524,1235513.98815133,3821047.836943816346
1650240000,2022-04-18 00:00:00,THETA/USDT,2.8695,3.0492,2.7522,3.0398,1321564.282225,3829272.298525420937
1650153600,2022-04-17 00:00:00,THETA/USDT,3.0488,3.0934,2.8517,2.8702,668656.10583402,2008343.129810917045
1650067200,2022-04-16 00:00:00,THETA/USDT,3.051,3.0769,2.9589,3.0481,569018.06751684,1721840.717962894004
1649980800,2022-04-15 00:00:00,THETA/USDT,3.0346,3.0844,2.9832,3.0514,684851.56946473,2081659.924724075816
1649894400,2022-04-14 00:00:00,THETA/USDT,3.1695,3.217,2.956,3.0345,1148788.49726026,3559885.352515675217
1649808000,2022-04-13 00:00:00,THETA/USDT,3.0916,3.2,2.9796,3.1693,1557026.6822716,4855844.796940830108
1649721600,2022-04-12 00:00:00,THETA/USDT,3.0078,3.1785,2.9481,3.0904,1584598.97693076,4845005.997622596904
1649635200,2022-04-11 00:00:00,THETA/USDT,3.3268,3.3436,2.9262,3.0076,2742056.35552375,8464443.620931819147
1649548800,2022-04-10 00:00:00,THETA/USDT,3.4624,3.5656,3.3163,3.3296,1237640.41769441,4292351.281957071319
1649462400,2022-04-09 00:00:00,THETA/USDT,3.322,3.5159,3.3069,3.4603,1082571.61509914,3669651.053756175196
1649376000,2022-04-08 00:00:00,THETA/USDT,3.4817,3.6009,3.3001,3.3304,2403917.96641319,8289865.0865398997
1649289600,2022-04-07 00:00:00,THETA/USDT,3.2925,3.5313,3.2554,3.4818,1160141.37462688,3967651.794696011827
1649203200,2022-04-06 00:00:00,THETA/USDT,3.693,3.7546,3.28,3.2939,2138295.58774759,7568798.306889555065
1649116800,2022-04-05 00:00:00,THETA/USDT,3.8461,3.9768,3.66,3.6942,1740011.29934142,6690448.069993371434
1649030400,2022-04-04 00:00:00,THETA/USDT,4.0436,4.0466,3.6249,3.8476,2526831.55638145,9710725.569185514405
1648944000,2022-04-03 00:00:00,THETA/USDT,4.0764,4.1429,3.9375,4.0432,1410067.79734922,5700831.433619098636
1648857600,2022-04-02 00:00:00,THETA/USDT,4.0935,4.3656,4,4.0779,2278689.30090322,9504791.503515314846
1648771200,2022-04-01 00:00:00,THETA/USDT,4.2033,4.3933,3.9032,4.0931,3978588.26493374,16478706.676624342554
1648684800,2022-03-31 00:00:00,THETA/USDT,3.9226,4.3812,3.88,4.2053,4633245.03350393,19118928.578953632379
1648598400,2022-03-30 00:00:00,THETA/USDT,3.8985,4.1381,3.7198,3.9175,2555199.84761868,10199308.966653054944
1648512000,2022-03-29 00:00:00,THETA/USDT,3.6176,4.1263,3.6075,3.8987,3169124.01595129,12304322.438002867942
1648425600,2022-03-28 00:00:00,THETA/USDT,3.5792,3.9215,3.5468,3.6193,2230985.49559998,8384000.340370195698
1648339200,2022-03-27 00:00:00,THETA/USDT,3.2999,3.63,3.2844,3.5816,1956762.06055618,6789558.816759012695
1648252800,2022-03-26 00:00:00,THETA/USDT,3.1703,3.3007,3.1511,3.2999,663510.98488074,2140098.64396262106
1648166400,2022-03-25 00:00:00,THETA/USDT,3.2902,3.3127,3.0925,3.171,1179334.81773414,3795008.585368762535
1648080000,2022-03-24 00:00:00,THETA/USDT,3.1994,3.3441,3.122,3.2931,1279435.92848964,4134154.470620662074
1647993600,2022-03-23 00:00:00,THETA/USDT,3.0686,3.2132,3.0325,3.1963,1108895.16599014,3469529.073465054132
1647907200,2022-03-22 00:00:00,THETA/USDT,2.9297,3.1877,2.9007,3.0686,1234739.98885949,3806172.424432149828
1647820800,2022-03-21 00:00:00,THETA/USDT,2.8812,2.9572,2.8174,2.9304,697075.63051236,2032012.067186291082
1647734400,2022-03-20 00:00:00,THETA/USDT,2.9827,3.0794,2.8225,2.8812,907466.22368615,2647259.778749591631
1647648000,2022-03-19 00:00:00,THETA/USDT,2.9118,3.049,2.9108,2.9833,787471.23291696,2341917.206229363747
1647561600,2022-03-18 00:00:00,THETA/USDT,2.8534,2.9445,2.775,2.9129,1116123.93237662,3191343.068171331195
1647475200,2022-03-17 00:00:00,THETA/USDT,2.9052,2.9244,2.8134,2.849,914914.48197958,2623515.221255694123
1647388800,2022-03-16 00:00:00,THETA/USDT,2.7194,2.909,2.6612,2.9036,1104093.63516132,3058791.961409976625
1647302400,2022-03-15 00:00:00,THETA/USDT,2.7763,2.7863,2.628,2.7205,913886.85661161,2466251.82364464178
1647216000,2022-03-14 00:00:00,THETA/USDT,2.6883,2.7878,2.6561,2.7762,708281.50612593,1932139.397197157332
1647129600,2022-03-13 00:00:00,THETA/USDT,2.8309,2.8901,2.6824,2.6883,603244.40465557,1684823.804386344117
1647043200,2022-03-12 00:00:00,THETA/USDT,2.7743,2.8681,2.77,2.8292,425632.79672433,1205027.379215330477
1646956800,2022-03-11 00:00:00,THETA/USDT,2.8659,3.008,2.7513,2.7744,1100394.25021051,3127710.171539577441
1646870400,2022-03-10 00:00:00,THETA/USDT,3.0608,3.0673,2.785,2.8701,1120408.45333999,3233804.096016435641
1646784000,2022-03-09 00:00:00,THETA/USDT,2.8417,3.1499,2.8224,3.0619,1407800.69936161,4268053.665716872238
1646697600,2022-03-08 00:00:00,THETA/USDT,2.7047,3.0389,2.6895,2.8409,1982089.04595841,5692653.468930142827
1646611200,2022-03-07 00:00:00,THETA/USDT,2.7047,2.8448,2.5936,2.7048,1360511.27295987,3674075.088717797813
1646524800,2022-03-06 00:00:00,THETA/USDT,2.871,2.9126,2.6864,2.704,787327.30100028,2201279.380334663179
1646438400,2022-03-05 00:00:00,THETA/USDT,2.8158,2.9091,2.7344,2.8759,803362.76849546,2274409.378432027545
1646352000,2022-03-04 00:00:00,THETA/USDT,3.0646,3.0746,2.7771,2.8158,1527247.18445285,4468719.238610243064
1646265600,2022-03-03 00:00:00,THETA/USDT,3.1783,3.4572,3,3.0711,1689451.48455429,5363317.79506400398
1646179200,2022-03-02 00:00:00,THETA/USDT,3.2877,3.3146,3.1137,3.1823,1788940.13606466,5743063.848819435723
1646092800,2022-03-01 00:00:00,THETA/USDT,3.3629,3.4526,3.173,3.2861,2169937.67847963,7159424.47592549455
1646006400,2022-02-28 00:00:00,THETA/USDT,2.7495,3.3746,2.6389,3.3624,2144831.46572814,6264929.298491686282
1645920000,2022-02-27 00:00:00,THETA/USDT,2.8379,2.9927,2.6843,2.7489,1923007.53295394,5444847.903936913228
1645833600,2022-02-26 00:00:00,THETA/USDT,2.8258,2.9,2.7592,2.8391,1618766.88014873,4597379.126349509735
1645747200,2022-02-25 00:00:00,THETA/USDT,2.6154,2.9006,2.5563,2.8285,1638518.74773541,4460350.801325164878
1645660800,2022-02-24 00:00:00,THETA/USDT,2.686,2.7161,2.2717,2.6159,3146237.1636841,7814709.543669409087
1645574400,2022-02-23 00:00:00,THETA/USDT,2.8834,2.9779,2.6768,2.6869,1599305.13566569,4542565.982595811512
1645488000,2022-02-22 00:00:00,THETA/USDT,2.6769,2.908,2.5968,2.8835,1178741.18341242,3268733.470881810649
1645401600,2022-02-21 00:00:00,THETA/USDT,2.9619,3.1494,2.6479,2.6769,1490931.77568104,4383350.746403022665
1645315200,2022-02-20 00:00:00,THETA/USDT,3.2164,3.2229,2.8687,2.9576,1181467.3831086,3543240.504271787116
1645228800,2022-02-19 00:00:00,THETA/USDT,3.2965,3.364,3.1057,3.2172,1111227.99015673,3582051.451254528453
1645142400,2022-02-18 00:00:00,THETA/USDT,3.4465,3.5697,3.2564,3.2994,1573205.84593613,5365319.022869685056
1645056000,2022-02-17 00:00:00,THETA/USDT,3.8955,3.9689,3.39,3.4429,2577963.66156494,9400890.607432750349
1644969600,2022-02-16 00:00:00,THETA/USDT,3.8611,4.052,3.747,3.8954,2027295.68271654,7930861.050682537302
1644883200,2022-02-15 00:00:00,THETA/USDT,3.5724,3.8761,3.5509,3.8612,2074054.23520846,7787127.385276506897
1644796800,2022-02-14 00:00:00,THETA/USDT,3.5776,3.7759,3.4428,3.5743,2114928.42799116,7568776.136982510899
1644710400,2022-02-13 00:00:00,THETA/USDT,3.8977,3.9382,3.5683,3.5744,1742678.83279205,6491965.677400653074
1644624000,2022-02-12 00:00:00,THETA/USDT,3.948,4.2481,3.7026,3.8967,3200381.97477785,12729962.266967088142
1644537600,2022-02-11 00:00:00,THETA/USDT,4.071,4.3796,3.8275,3.9527,4900712.31034535,19860526.967211321619
1644451200,2022-02-10 00:00:00,THETA/USDT,3.4397,4.15,3.324,4.0681,3904358.96243219,15044143.182653830474
1644364800,2022-02-09 00:00:00,THETA/USDT,3.4497,3.4773,3.2536,3.4386,975956.13741022,3321198.200839271817
1644278400,2022-02-08 00:00:00,THETA/USDT,3.5969,3.61,3.1946,3.4496,1734243.47578162,5859672.617738799019
