https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETHBEAR,Volume USDT
1663545600000.0,2022-09-19 00:00:00,ETHBEAR/USDT,5e-08,6e-08,5e-08,5e-08,0.0,0.0
1663542000000.0,2022-09-18 23:00:00,ETHBEAR/USDT,6e-08,6e-08,5e-08,5e-08,0.0,0.0
1663538400000.0,2022-09-18 22:00:00,ETHBEAR/USDT,5e-08,6e-08,5e-08,5e-08,0.0,0.0
1663534800000.0,2022-09-18 21:00:00,ETHBEAR/USDT,5e-08,6e-08,5e-08,5e-08,19000000.0,0.95
1663531200000.0,2022-09-18 20:00:00,ETHBEAR/USDT,5e-08,6e-08,5e-08,5e-08,0.0,0.0
1663527600000.0,2022-09-18 19:00:00,ETHBEAR/USDT,5e-08,6e-08,5e-08,5e-08,0.0,0.0
1663524000000.0,2022-09-18 18:00:00,ETHBEAR/USDT,5e-08,6e-08,5e-08,5e-08,0.0,0.0
1663520400000.0,2022-09-18 17:00:00,ETHBEAR/USDT,5e-08,6e-08,5e-08,5e-08,0.0,0.0
1663516800000.0,2022-09-18 16:00:00,ETHBEAR/USDT,5e-08,6e-08,5e-08,5e-08,0.0,0.0
1663513200000.0,2022-09-18 15:00:00,ETHBEAR/USDT,5e-08,6e-08,5e-08,5e-08,0.0,0.0
1663509600000.0,2022-09-18 14:00:00,ETHBEAR/USDT,5e-08,6e-08,5e-08,5e-08,0.0,0.0
1663506000000.0,2022-09-18 13:00:00,ETHBEAR/USDT,5e-08,6e-08,5e-08,5e-08,0.0,0.0
1663502400000.0,2022-09-18 12:00:00,ETHBEAR/USDT,5e-08,6e-08,5e-08,5e-08,0.0,0.0
1663498800000.0,2022-09-18 11:00:00,ETHBEAR/USDT,5e-08,6e-08,5e-08,5e-08,0.0,0.0
1663495200000.0,2022-09-18 10:00:00,ETHBEAR/USDT,5e-08,6e-08,5e-08,5e-08,0.0,0.0
1663491600000.0,2022-09-18 09:00:00,ETHBEAR/USDT,5e-08,6e-08,5e-08,5e-08,0.0,0.0
1663488000000.0,2022-09-18 08:00:00,ETHBEAR/USDT,5e-08,6e-08,5e-08,5e-08,0.0,0.0
1663484400000.0,2022-09-18 07:00:00,ETHBEAR/USDT,5e-08,6e-08,5e-08,5e-08,0.0,0.0
1663480800000.0,2022-09-18 06:00:00,ETHBEAR/USDT,5e-08,6e-08,5e-08,5e-08,0.0,0.0
