https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume IOTA,Volume BTC,tradecount
1611100800000,2021-01-20 00:00:00,IOTA/BTC,0.00001310,0.00001359,0.00001260,0.00001329,7186716.00000000,94.07667591,15319
1611014400000,2021-01-19 00:00:00,IOTA/BTC,0.00001302,0.00001369,0.00001251,0.00001307,11463177.00000000,149.83064750,18461
1610928000000,2021-01-18 00:00:00,IOTA/BTC,0.00001218,0.00001347,0.00001184,0.00001304,14403879.00000000,184.08451170,22697
1610841600000,2021-01-17 00:00:00,IOTA/BTC,0.00001177,0.00001235,0.00001147,0.00001219,7330681.00000000,86.92858396,13120
1610755200000,2021-01-16 00:00:00,IOTA/BTC,0.00001176,0.00001299,0.00001150,0.00001181,10293533.00000000,122.13337760,16905
1610668800000,2021-01-15 00:00:00,IOTA/BTC,0.00001086,0.00001218,0.00001066,0.00001176,12195832.00000000,138.67396024,19409
1610582400000,2021-01-14 00:00:00,IOTA/BTC,0.00001111,0.00001142,0.00001046,0.00001086,7251803.00000000,79.28192969,13768
1610496000000,2021-01-13 00:00:00,IOTA/BTC,0.00001057,0.00001185,0.00001055,0.00001109,12716467.00000000,143.40445784,19068
1610409600000,2021-01-12 00:00:00,IOTA/BTC,0.00001039,0.00001098,0.00001022,0.00001054,7515846.00000000,79.34496286,10999
1610323200000,2021-01-11 00:00:00,IOTA/BTC,0.00001119,0.00001121,0.00001034,0.00001037,10365188.00000000,111.80997965,17745
1610236800000,2021-01-10 00:00:00,IOTA/BTC,0.00001079,0.00001164,0.00001042,0.00001119,13783775.00000000,150.02318627,20665
1610150400000,2021-01-09 00:00:00,IOTA/BTC,0.00000910,0.00001200,0.00000910,0.00001077,29385505.00000000,318.84231292,38982
1610064000000,2021-01-08 00:00:00,IOTA/BTC,0.00000974,0.00000976,0.00000870,0.00000910,9514527.00000000,87.14614933,12204
1609977600000,2021-01-07 00:00:00,IOTA/BTC,0.00001037,0.00001101,0.00000942,0.00000974,14740827.00000000,150.56754110,22116
1609891200000,2021-01-06 00:00:00,IOTA/BTC,0.00001036,0.00001167,0.00000975,0.00001035,20435280.00000000,221.34241357,26081
1609804800000,2021-01-05 00:00:00,IOTA/BTC,0.00001073,0.00001218,0.00001015,0.00001037,19379865.00000000,214.21966380,28260
1609718400000,2021-01-04 00:00:00,IOTA/BTC,0.00000942,0.00001235,0.00000933,0.00001074,16702641.00000000,166.49977689,24338
1609632000000,2021-01-03 00:00:00,IOTA/BTC,0.00000890,0.00000977,0.00000799,0.00000940,10628576.00000000,93.39904536,12910
1609545600000,2021-01-02 00:00:00,IOTA/BTC,0.00000992,0.00001013,0.00000862,0.00000890,10031760.00000000,92.00992332,9679
1609459200000,2021-01-01 00:00:00,IOTA/BTC,0.00001025,0.00001040,0.00000988,0.00000992,4358448.00000000,44.22102538,4951
1609372800000,2020-12-31 00:00:00,IOTA/BTC,0.00001024,0.00001058,0.00000976,0.00001024,9808556.00000000,99.16278076,8444
1609286400000,2020-12-30 00:00:00,IOTA/BTC,0.00001104,0.00001109,0.00001012,0.00001023,4479625.00000000,47.23743915,6906
1609200000000,2020-12-29 00:00:00,IOTA/BTC,0.00001133,0.00001156,0.00001081,0.00001106,4235870.00000000,46.74302849,6541
1609113600000,2020-12-28 00:00:00,IOTA/BTC,0.00001134,0.00001181,0.00001107,0.00001133,4821943.00000000,55.14125463,7326
1609027200000,2020-12-27 00:00:00,IOTA/BTC,0.00001081,0.00001170,0.00000992,0.00001134,11270887.00000000,120.52105827,11274
1608940800000,2020-12-26 00:00:00,IOTA/BTC,0.00001185,0.00001220,0.00001070,0.00001083,7093533.00000000,80.77174206,8860
1608854400000,2020-12-25 00:00:00,IOTA/BTC,0.00001240,0.00001315,0.00001171,0.00001185,4669776.00000000,57.18461801,7088
1608768000000,2020-12-24 00:00:00,IOTA/BTC,0.00001143,0.00001245,0.00001119,0.00001242,4240515.00000000,50.39147970,8450
1608681600000,2020-12-23 00:00:00,IOTA/BTC,0.00001290,0.00001398,0.00001105,0.00001140,12508425.00000000,159.08837114,14734
1608595200000,2020-12-22 00:00:00,IOTA/BTC,0.00001339,0.00001342,0.00001281,0.00001294,3921894.00000000,51.23963518,5484
1608508800000,2020-12-21 00:00:00,IOTA/BTC,0.00001381,0.00001399,0.00001286,0.00001340,4592845.00000000,61.83743696,7305
1608422400000,2020-12-20 00:00:00,IOTA/BTC,0.00001429,0.00001453,0.00001358,0.00001382,3973788.00000000,55.74970562,6643
1608336000000,2020-12-19 00:00:00,IOTA/BTC,0.00001400,0.00001455,0.00001372,0.00001428,5916384.00000000,83.71179182,9622
1608249600000,2020-12-18 00:00:00,IOTA/BTC,0.00001406,0.00001445,0.00001391,0.00001401,2652143.00000000,37.57081523,5538
1608163200000,2020-12-17 00:00:00,IOTA/BTC,0.00001544,0.00001590,0.00001382,0.00001402,6874695.00000000,99.67267338,11570
1608076800000,2020-12-16 00:00:00,IOTA/BTC,0.00001570,0.00001581,0.00001492,0.00001543,4625446.00000000,71.56811313,7914
1607990400000,2020-12-15 00:00:00,IOTA/BTC,0.00001570,0.00001599,0.00001537,0.00001570,2723988.00000000,42.77061238,5043
1607904000000,2020-12-14 00:00:00,IOTA/BTC,0.00001573,0.00001590,0.00001525,0.00001569,2812120.00000000,43.81780655,4620
1607817600000,2020-12-13 00:00:00,IOTA/BTC,0.00001547,0.00001589,0.00001526,0.00001572,2643516.00000000,41.25270951,4968
1607731200000,2020-12-12 00:00:00,IOTA/BTC,0.00001519,0.00001614,0.00001516,0.00001545,3909663.00000000,61.56296755,5412
1607644800000,2020-12-11 00:00:00,IOTA/BTC,0.00001562,0.00001562,0.00001504,0.00001522,5707674.00000000,87.54637963,6527
1607558400000,2020-12-10 00:00:00,IOTA/BTC,0.00001667,0.00001670,0.00001551,0.00001566,4181007.00000000,67.00647231,5815
1607472000000,2020-12-09 00:00:00,IOTA/BTC,0.00001632,0.00001890,0.00001611,0.00001667,4199195.00000000,69.87969942,7712
1607385600000,2020-12-08 00:00:00,IOTA/BTC,0.00001662,0.00001686,0.00001609,0.00001632,4576378.00000000,75.60273100,6359
1607299200000,2020-12-07 00:00:00,IOTA/BTC,0.00001746,0.00001758,0.00001641,0.00001662,10068059.00000000,170.11360546,8201
1607212800000,2020-12-06 00:00:00,IOTA/BTC,0.00001783,0.00001793,0.00001724,0.00001747,1751162.00000000,30.62952921,2822
1607126400000,2020-12-05 00:00:00,IOTA/BTC,0.00001724,0.00001804,0.00001712,0.00001783,2282126.00000000,40.42164746,4030
1607040000000,2020-12-04 00:00:00,IOTA/BTC,0.00001793,0.00001812,0.00001700,0.00001724,3138599.00000000,55.20608432,5146
