https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETC,Volume BTC,tradecount
1609891200000,2021-01-06 00:00:00,ETC/BTC,0.00021420,0.00022250,0.00020230,0.00020600,746949.35000000,158.90952049,25196
1609804800000,2021-01-05 00:00:00,ETC/BTC,0.00022020,0.00022800,0.00020300,0.00021420,691945.36000000,150.08417142,21195
1609718400000,2021-01-04 00:00:00,ETC/BTC,0.00019900,0.00027500,0.00019840,0.00022020,1727154.96000000,376.23427239,37345
1609632000000,2021-01-03 00:00:00,ETC/BTC,0.00017920,0.00020250,0.00017010,0.00019870,1111976.87000000,207.82132540,25560
1609545600000,2021-01-02 00:00:00,ETC/BTC,0.00019410,0.00019490,0.00017570,0.00017950,606774.43000000,111.35615102,14075
1609459200000,2021-01-01 00:00:00,ETC/BTC,0.00019570,0.00019970,0.00019220,0.00019410,297120.72000000,58.12433271,7528
1609372800000,2020-12-31 00:00:00,ETC/BTC,0.00019690,0.00020070,0.00019160,0.00019560,424442.03000000,83.29478429,10441
1609286400000,2020-12-30 00:00:00,ETC/BTC,0.00020890,0.00020970,0.00019470,0.00019670,423294.35000000,85.45299920,12654
1609200000000,2020-12-29 00:00:00,ETC/BTC,0.00021850,0.00022390,0.00020700,0.00020890,330691.56000000,70.47531924,11933
1609113600000,2020-12-28 00:00:00,ETC/BTC,0.00022120,0.00023050,0.00021140,0.00021860,591466.88000000,131.03180957,13379
1609027200000,2020-12-27 00:00:00,ETC/BTC,0.00022010,0.00022330,0.00020160,0.00022100,866261.48000000,186.10023943,20648
1608940800000,2020-12-26 00:00:00,ETC/BTC,0.00023300,0.00023510,0.00021740,0.00022060,388300.05000000,87.63670731,11086
1608854400000,2020-12-25 00:00:00,ETC/BTC,0.00023620,0.00024210,0.00022700,0.00023310,344298.02000000,80.96579644,12438
1608768000000,2020-12-24 00:00:00,ETC/BTC,0.00021920,0.00024160,0.00021640,0.00023630,579293.98000000,133.50503055,16743
1608681600000,2020-12-23 00:00:00,ETC/BTC,0.00025710,0.00025820,0.00020500,0.00021950,1006510.69000000,231.43719795,23159
1608595200000,2020-12-22 00:00:00,ETC/BTC,0.00026850,0.00027050,0.00025360,0.00025730,517641.86000000,135.35051129,13072
1608508800000,2020-12-21 00:00:00,ETC/BTC,0.00027660,0.00029500,0.00026700,0.00026890,659530.27000000,183.25439247,17446
1608422400000,2020-12-20 00:00:00,ETC/BTC,0.00026910,0.00028940,0.00026860,0.00027670,733551.02000000,205.14104264,18674
1608336000000,2020-12-19 00:00:00,ETC/BTC,0.00027640,0.00028300,0.00026790,0.00026900,338941.54000000,93.75415357,10582
1608249600000,2020-12-18 00:00:00,ETC/BTC,0.00028410,0.00028740,0.00027590,0.00027650,363091.36000000,102.29686044,11979
1608163200000,2020-12-17 00:00:00,ETC/BTC,0.00030290,0.00030720,0.00027500,0.00028400,543675.30000000,157.55825123,22567
1608076800000,2020-12-16 00:00:00,ETC/BTC,0.00031130,0.00031160,0.00029750,0.00030310,237376.93000000,72.31011941,10162
1607990400000,2020-12-15 00:00:00,ETC/BTC,0.00031360,0.00031630,0.00031120,0.00031130,97773.68000000,30.63736123,6288
1607904000000,2020-12-14 00:00:00,ETC/BTC,0.00031920,0.00032010,0.00031060,0.00031340,254399.09000000,80.01376958,9349
1607817600000,2020-12-13 00:00:00,ETC/BTC,0.00031750,0.00032450,0.00031500,0.00031930,192682.87000000,61.41878681,8498
1607731200000,2020-12-12 00:00:00,ETC/BTC,0.00032100,0.00032960,0.00031630,0.00031740,142963.59000000,46.27325835,6055
1607644800000,2020-12-11 00:00:00,ETC/BTC,0.00032310,0.00033030,0.00032100,0.00032110,196694.85000000,63.94978693,7613
1607558400000,2020-12-10 00:00:00,ETC/BTC,0.00032710,0.00033080,0.00032150,0.00032290,119350.97000000,38.96002092,7309
1607472000000,2020-12-09 00:00:00,ETC/BTC,0.00031510,0.00034020,0.00031130,0.00032710,324033.59000000,106.37656063,13270
1607385600000,2020-12-08 00:00:00,ETC/BTC,0.00032090,0.00032110,0.00030880,0.00031490,200616.08000000,62.96796307,7068
1607299200000,2020-12-07 00:00:00,ETC/BTC,0.00031840,0.00032290,0.00031690,0.00032100,139715.60000000,44.67849702,5302
1607212800000,2020-12-06 00:00:00,ETC/BTC,0.00032360,0.00032530,0.00031760,0.00031870,177319.31000000,56.95121318,7768
1607126400000,2020-12-05 00:00:00,ETC/BTC,0.00031930,0.00032400,0.00031830,0.00032360,192458.36000000,61.80185533,8814
1607040000000,2020-12-04 00:00:00,ETC/BTC,0.00033910,0.00033940,0.00031610,0.00031930,408697.38000000,134.98751484,14041
