https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DASH,Volume BTC,tradecount
1609718400000,2021-01-04 00:00:00,DASH/BTC,0.00271600,0.00306800,0.00271400,0.00278200,60336.94900000,171.15659022,20267
1609632000000,2021-01-03 00:00:00,DASH/BTC,0.00269900,0.00292800,0.00246700,0.00271500,67304.38700000,177.34731070,20360
1609545600000,2021-01-02 00:00:00,DASH/BTC,0.00300100,0.00305900,0.00269000,0.00270000,126886.84800000,366.04663975,30009
1609459200000,2021-01-01 00:00:00,DASH/BTC,0.00344200,0.00358200,0.00294800,0.00299900,124528.67200000,394.68036530,25778
1609372800000,2020-12-31 00:00:00,DASH/BTC,0.00352400,0.00354400,0.00337800,0.00343900,34759.44000000,119.36388251,8738
1609286400000,2020-12-30 00:00:00,DASH/BTC,0.00379800,0.00415800,0.00347600,0.00352500,56529.10000000,203.62976639,16066
1609200000000,2020-12-29 00:00:00,DASH/BTC,0.00395600,0.00403700,0.00375300,0.00379600,30091.86200000,116.07412520,10851
1609113600000,2020-12-28 00:00:00,DASH/BTC,0.00409000,0.00414200,0.00389600,0.00395600,45360.58000000,181.14193293,18415
1609027200000,2020-12-27 00:00:00,DASH/BTC,0.00407600,0.00415200,0.00367100,0.00408800,82113.98900000,324.64081744,26222
1608940800000,2020-12-26 00:00:00,DASH/BTC,0.00416800,0.00438100,0.00403400,0.00408100,61735.90200000,260.18810685,21057
1608854400000,2020-12-25 00:00:00,DASH/BTC,0.00415300,0.00433400,0.00407600,0.00417900,44629.96400000,188.32771941,17471
1608768000000,2020-12-24 00:00:00,DASH/BTC,0.00393100,0.00420400,0.00383600,0.00415200,30775.44600000,122.37746350,13776
1608681600000,2020-12-23 00:00:00,DASH/BTC,0.00444100,0.00446200,0.00381400,0.00393200,37514.68400000,155.28042578,16183
1608595200000,2020-12-22 00:00:00,DASH/BTC,0.00457000,0.00459900,0.00428900,0.00444300,34184.39400000,151.88370573,16484
1608508800000,2020-12-21 00:00:00,DASH/BTC,0.00466800,0.00501100,0.00453200,0.00457300,48171.78200000,226.99705368,20174
1608422400000,2020-12-20 00:00:00,DASH/BTC,0.00454700,0.00483100,0.00450000,0.00466800,30319.23100000,141.82759950,14259
1608336000000,2020-12-19 00:00:00,DASH/BTC,0.00467300,0.00475000,0.00452400,0.00454300,20865.52000000,96.78051205,11564
1608249600000,2020-12-18 00:00:00,DASH/BTC,0.00474600,0.00493000,0.00462500,0.00467000,32381.97000000,154.21096449,14746
1608163200000,2020-12-17 00:00:00,DASH/BTC,0.00493500,0.00498000,0.00440000,0.00474400,47194.24100000,221.50182308,25230
1608076800000,2020-12-16 00:00:00,DASH/BTC,0.00498900,0.00500900,0.00483100,0.00493400,31786.70300000,156.43797902,11272
1607990400000,2020-12-15 00:00:00,DASH/BTC,0.00501700,0.00502600,0.00491100,0.00499100,14406.19200000,71.54481125,5785
1607904000000,2020-12-14 00:00:00,DASH/BTC,0.00509100,0.00509400,0.00494200,0.00501700,19309.96900000,96.78467001,8115
1607817600000,2020-12-13 00:00:00,DASH/BTC,0.00503600,0.00514800,0.00498100,0.00509100,16700.37400000,84.76800500,6927
1607731200000,2020-12-12 00:00:00,DASH/BTC,0.00516600,0.00530400,0.00500800,0.00503800,22142.95000000,114.16963719,8905
1607644800000,2020-12-11 00:00:00,DASH/BTC,0.00509100,0.00528600,0.00495100,0.00516700,22038.56600000,113.09585079,9662
1607558400000,2020-12-10 00:00:00,DASH/BTC,0.00516200,0.00519500,0.00504700,0.00509100,10579.82700000,54.03767309,5529
1607472000000,2020-12-09 00:00:00,DASH/BTC,0.00518700,0.00519500,0.00500000,0.00515900,15561.19900000,79.29318772,8097
1607385600000,2020-12-08 00:00:00,DASH/BTC,0.00529500,0.00529900,0.00508400,0.00518700,20451.40800000,105.76399843,9744
1607299200000,2020-12-07 00:00:00,DASH/BTC,0.00527100,0.00540000,0.00524100,0.00529600,12110.19200000,64.53982063,7055
1607212800000,2020-12-06 00:00:00,DASH/BTC,0.00537700,0.00543400,0.00524700,0.00527300,8042.19000000,42.80021660,5364
1607126400000,2020-12-05 00:00:00,DASH/BTC,0.00529800,0.00542800,0.00520300,0.00538000,14340.93000000,76.24176432,7687
1607040000000,2020-12-04 00:00:00,DASH/BTC,0.00553500,0.00573700,0.00522200,0.00529900,22254.80900000,122.23617654,12291
