https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ASDBEAR,Volume USDT
1663545600000.0,2022-09-19 00:00:00,ASDBEAR/USDT,1e-08,1e-08,1e-08,1e-08,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,ASDBEAR/USDT,1e-08,1e-08,1e-08,1e-08,0.0,0.0
1663372800000.0,2022-09-17 00:00:00,ASDBEAR/USDT,1e-08,1e-08,1e-08,1e-08,0.0,0.0
1663286400000.0,2022-09-16 00:00:00,ASDBEAR/USDT,1e-08,1e-08,1e-08,1e-08,0.0,0.0
1663200000000.0,2022-09-15 00:00:00,ASDBEAR/USDT,1e-08,1e-08,1e-08,1e-08,0.0,0.0
1663113600000.0,2022-09-14 00:00:00,ASDBEAR/USDT,1e-08,1e-08,1e-08,1e-08,0.0,0.0
1663027200000.0,2022-09-13 00:00:00,ASDBEAR/USDT,1e-08,1e-08,1e-08,1e-08,0.0,0.0
1662940800000.0,2022-09-12 00:00:00,ASDBEAR/USDT,1e-08,1e-08,1e-08,1e-08,0.0,0.0
1662854400000.0,2022-09-11 00:00:00,ASDBEAR/USDT,1e-08,1e-08,1e-08,1e-08,0.0,0.0
1662768000000.0,2022-09-10 00:00:00,ASDBEAR/USDT,1e-08,1e-08,1e-08,1e-08,0.0,0.0
1662681600000.0,2022-09-09 00:00:00,ASDBEAR/USDT,1e-08,1e-08,1e-08,1e-08,0.0,0.0
1662595200000.0,2022-09-08 00:00:00,ASDBEAR/USDT,1e-08,1e-08,1e-08,1e-08,0.0,0.0
1662508800000.0,2022-09-07 00:00:00,ASDBEAR/USDT,1e-08,1e-08,1e-08,1e-08,0.0,0.0
1662422400000.0,2022-09-06 00:00:00,ASDBEAR/USDT,1e-08,1e-08,1e-08,1e-08,0.0,0.0
1662336000000.0,2022-09-05 00:00:00,ASDBEAR/USDT,1e-08,1e-08,1e-08,1e-08,0.0,0.0
1662249600000.0,2022-09-04 00:00:00,ASDBEAR/USDT,1e-08,1e-08,1e-08,1e-08,0.0,0.0
1662163200000.0,2022-09-03 00:00:00,ASDBEAR/USDT,1e-08,1e-08,1e-08,1e-08,0.0,0.0
1662076800000.0,2022-09-02 00:00:00,ASDBEAR/USDT,1e-08,1e-08,1e-08,1e-08,0.0,0.0
1661990400000.0,2022-09-01 00:00:00,ASDBEAR/USDT,1e-08,1e-08,1e-08,1e-08,0.0,0.0
