https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HT,Volume USDT
1642982400,2022-01-24 00:00:00,HT/USDT,9.1713,9.1863,8.4099,8.823,12854.52095104,111849.637603413067
1642896000,2022-01-23 00:00:00,HT/USDT,8.6893,9.2379,8.6645,9.222,33124.64949525,296980.593757392359
1642809600,2022-01-22 00:00:00,HT/USDT,9.1656,9.2112,7.3333,8.6511,22740.76387269,200582.642728553425
1642723200,2022-01-21 00:00:00,HT/USDT,9.7207,9.8021,9.0935,9.1776,21668.92963379,206397.433597349863
1642636800,2022-01-20 00:00:00,HT/USDT,9.9367,9.9621,9.6662,9.7324,7317.62004614,71774.916343568071
1642550400,2022-01-19 00:00:00,HT/USDT,9.8496,10.0068,9.7396,9.9327,18499.4579033,183088.22603866829
1642464000,2022-01-18 00:00:00,HT/USDT,9.8048,9.9473,9.7138,9.8687,8321.12320586,81994.277557815788
1642377600,2022-01-17 00:00:00,HT/USDT,10.0254,10.0255,9.6948,9.7953,9604.69892342,94270.177814823062
1642291200,2022-01-16 00:00:00,HT/USDT,10.0063,10.0324,9.8917,10.0129,6522.12966089,65157.081707625371
1642204800,2022-01-15 00:00:00,HT/USDT,9.8393,10.0382,9.8115,10.0349,10403.40342028,103660.271248291328
1642118400,2022-01-14 00:00:00,HT/USDT,9.4873,9.8734,9.4872,9.8219,9011.61534212,87595.822455407566
1642032000,2022-01-13 00:00:00,HT/USDT,9.499,9.8801,9.4168,9.5063,17005.52839988,162956.272600240915
1641945600,2022-01-12 00:00:00,HT/USDT,9.3921,9.4987,9.1588,9.4986,9715.08776417,91379.528944625231
1641859200,2022-01-11 00:00:00,HT/USDT,9.0379,9.3981,8.986,9.3918,5362.64006916,48845.058890123901
1641772800,2022-01-10 00:00:00,HT/USDT,8.9741,9.1649,8.7529,9.0362,10410.59200852,93917.619022365405
1641686400,2022-01-09 00:00:00,HT/USDT,9.0023,9.0532,8.8508,8.9722,6412.76065265,57279.311919385318
1641600000,2022-01-08 00:00:00,HT/USDT,8.9432,9.15,8.8161,9.0135,7993.77094525,71672.037647536562
1641513600,2022-01-07 00:00:00,HT/USDT,8.8479,8.9883,8.6415,8.9346,13752.94364554,121334.362846261243
1641427200,2022-01-06 00:00:00,HT/USDT,9.0815,9.1582,8.6108,8.8246,7064.44443474,62337.704404273864
1641340800,2022-01-05 00:00:00,HT/USDT,9.3358,9.4578,8.9932,9.1192,14043.78220163,129624.003705483875
1641254400,2022-01-04 00:00:00,HT/USDT,9.3688,9.4551,9.2828,9.3698,7044.06982119,66176.477226262636
1641168000,2022-01-03 00:00:00,HT/USDT,9.4132,9.5023,9.2855,9.3688,10020.98599921,94257.544243324923
1641081600,2022-01-02 00:00:00,HT/USDT,9.4458,9.4458,9.3229,9.3914,3233.30307386,30370.313418925183
1640995200,2022-01-01 00:00:00,HT/USDT,9.3854,9.4578,9.2242,9.42,7073.56209036,66245.490298611757
1640908800,2021-12-31 00:00:00,HT/USDT,9.4469,9.4548,9.1,9.3786,16920.35444126,157560.713766163806
1640822400,2021-12-30 00:00:00,HT/USDT,9.6742,9.7082,9.3819,9.4721,14997.59986202,143042.649193422215
1640736000,2021-12-29 00:00:00,HT/USDT,9.7227,9.7614,9.4637,9.6641,10422.00674339,100414.846331200457
1640649600,2021-12-28 00:00:00,HT/USDT,9.8993,10.1,9.7012,9.7177,14340.80573777,141311.228956295104
