https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume EUR
1659139200,2022-07-30 00:00:00,LINK/EUR,7.76,8.03,7.51,7.65,78683.31072833,601927.3270717246
1659052800,2022-07-29 00:00:00,LINK/EUR,7.11,7.95,6.99,7.72,165553.10842114,1278069.9970112008
1658966400,2022-07-28 00:00:00,LINK/EUR,6.72,7.15,6.58,7.09,77456.31898804,549165.3016252036
1658880000,2022-07-27 00:00:00,LINK/EUR,6.27,6.73,6.12,6.73,58199.25100404,391680.95925718924
1658793600,2022-07-26 00:00:00,LINK/EUR,6.30,6.30,6.01,6.27,65062.20843609,407940.04689428426
1658707200,2022-07-25 00:00:00,LINK/EUR,6.97,7.00,6.29,6.30,76719.43808247,483332.45991956105
1658620800,2022-07-24 00:00:00,LINK/EUR,6.71,7.09,6.71,6.94,66024.44205727,458209.62787745387
1658534400,2022-07-23 00:00:00,LINK/EUR,6.65,6.88,6.48,6.73,57988.75659991,390264.3319173943
1658448000,2022-07-22 00:00:00,LINK/EUR,6.86,7.17,6.62,6.66,72452.75009223,482535.31561425177
1658361600,2022-07-21 00:00:00,LINK/EUR,6.75,6.91,6.52,6.85,90834.62709413,622217.1955947905
1658275200,2022-07-20 00:00:00,LINK/EUR,7.08,7.40,6.72,6.74,106386.04603671,717041.9502874254
1658188800,2022-07-19 00:00:00,LINK/EUR,6.88,7.21,6.64,7.10,109554.92086223,777839.938121833
1658102400,2022-07-18 00:00:00,LINK/EUR,6.28,7.00,6.28,6.98,118870.75253428,829717.8526892745
1658016000,2022-07-17 00:00:00,LINK/EUR,6.54,6.65,6.27,6.28,71372.81978494,448221.3082494232
1657929600,2022-07-16 00:00:00,LINK/EUR,6.25,6.56,6.10,6.53,49257.47020489,321651.2804379317
1657843200,2022-07-15 00:00:00,LINK/EUR,6.26,6.39,6.09,6.28,50027.88896202,314175.1426814856
1657756800,2022-07-14 00:00:00,LINK/EUR,6.19,6.35,5.99,6.25,130353.20532321,814707.5332700625
1657670400,2022-07-13 00:00:00,LINK/EUR,5.90,6.18,5.70,6.15,76290.44870982,469186.25956539303
1657584000,2022-07-12 00:00:00,LINK/EUR,5.98,6.20,5.91,5.93,85349.53226560,506122.726335008
1657497600,2022-07-11 00:00:00,LINK/EUR,6.09,6.38,5.95,6.01,103369.44621229,621250.3717358629
1657411200,2022-07-10 00:00:00,LINK/EUR,6.36,6.36,6.00,6.09,60344.94823557,367500.7347546213
1657324800,2022-07-09 00:00:00,LINK/EUR,6.28,6.46,6.23,6.37,34548.66497810,220074.995910497
1657238400,2022-07-08 00:00:00,LINK/EUR,6.53,6.71,6.20,6.22,120344.87500252,748545.1225156743
1657152000,2022-07-07 00:00:00,LINK/EUR,6.24,6.63,6.19,6.56,62041.74475128,406993.8455683968
1657065600,2022-07-06 00:00:00,LINK/EUR,6.18,6.29,6.01,6.21,69976.92499986,434556.70424913056
1656979200,2022-07-05 00:00:00,LINK/EUR,6.14,6.27,5.91,6.15,118462.86805746,728546.638553379
1656892800,2022-07-04 00:00:00,LINK/EUR,5.95,6.16,5.77,6.15,45843.95034668,281940.29463208205
1656806400,2022-07-03 00:00:00,LINK/EUR,5.96,5.97,5.77,5.95,43536.52337722,259042.31409445903
1656720000,2022-07-02 00:00:00,LINK/EUR,5.80,6.00,5.74,5.98,42456.57638943,253890.32680879143
1656633600,2022-07-01 00:00:00,LINK/EUR,5.95,6.12,5.68,5.81,72350.48561496,420356.32142291754
1656547200,2022-06-30 00:00:00,LINK/EUR,5.97,6.01,5.65,5.99,70419.12028557,421810.5305105643
1656460800,2022-06-29 00:00:00,LINK/EUR,6.00,6.17,5.87,5.95,101564.07385788,604306.2394543859
1656374400,2022-06-28 00:00:00,LINK/EUR,6.20,6.85,5.96,6.00,139913.39870219,839480.3922131399
1656288000,2022-06-27 00:00:00,LINK/EUR,6.33,6.60,6.06,6.20,67753.96097850,420074.55806670006
1656201600,2022-06-26 00:00:00,LINK/EUR,6.90,7.09,6.33,6.33,66302.52432403,419694.97897110996
1656115200,2022-06-25 00:00:00,LINK/EUR,6.84,6.98,6.45,6.88,54140.21409684,372484.67298625916
1656028800,2022-06-24 00:00:00,LINK/EUR,6.65,7.03,6.61,6.87,59949.13899232,411850.5848772384
1655942400,2022-06-23 00:00:00,LINK/EUR,6.27,6.73,6.27,6.65,75909.75853257,504799.8942415906
1655856000,2022-06-22 00:00:00,LINK/EUR,6.51,6.64,6.11,6.26,92231.14607362,577366.9744208611
1655769600,2022-06-21 00:00:00,LINK/EUR,6.62,7.13,6.41,6.49,83748.40822983,543527.1694115967
1655683200,2022-06-20 00:00:00,LINK/EUR,6.33,6.90,6.00,6.64,103164.88154959,685014.8134892776
1655596800,2022-06-19 00:00:00,LINK/EUR,5.65,6.49,5.56,6.27,81714.03733303,512347.0140780981
1655510400,2022-06-18 00:00:00,LINK/EUR,6.03,6.14,5.16,5.64,116621.02724724,657742.5936744335
1655424000,2022-06-17 00:00:00,LINK/EUR,5.98,6.38,5.94,6.06,82720.38685312,501285.54432990716
1655337600,2022-06-16 00:00:00,LINK/EUR,7.01,7.15,5.92,6.01,163346.29374216,981711.2253903815
1655251200,2022-06-15 00:00:00,LINK/EUR,6.41,7.04,5.56,6.99,250200.12978572,1748898.9072021828
1655164800,2022-06-14 00:00:00,LINK/EUR,5.64,6.55,5.18,6.44,284102.94602857,1829622.972423991
1655078400,2022-06-13 00:00:00,LINK/EUR,6.00,6.01,5.06,5.66,278329.43080389,1575344.5783500173
1654992000,2022-06-12 00:00:00,LINK/EUR,6.69,6.78,5.98,6.03,144650.78031501,872244.2052995103
1654905600,2022-06-11 00:00:00,LINK/EUR,7.66,7.99,6.60,6.65,94217.02039062,626543.1855976231
1654819200,2022-06-10 00:00:00,LINK/EUR,8.72,8.96,7.61,7.63,126570.10899232,965729.9316114016
1654732800,2022-06-09 00:00:00,LINK/EUR,8.15,9.04,7.89,8.72,137444.77174668,1198518.4096310497
1654646400,2022-06-08 00:00:00,LINK/EUR,8.17,8.37,7.69,8.12,193908.71120705,1574538.7350012457
1654560000,2022-06-07 00:00:00,LINK/EUR,7.43,8.39,6.85,8.14,176597.20684269,1437501.2636994969
1654473600,2022-06-06 00:00:00,LINK/EUR,7.13,7.61,7.13,7.46,101705.95998130,758726.4614604979
1654387200,2022-06-05 00:00:00,LINK/EUR,6.92,7.34,6.77,7.11,86458.33434494,614718.7571925235
1654300800,2022-06-04 00:00:00,LINK/EUR,6.40,6.93,6.24,6.89,60123.50311731,414250.93647826585
1654214400,2022-06-03 00:00:00,LINK/EUR,6.68,6.71,6.24,6.40,86875.16296865,556001.04299936
1654128000,2022-06-02 00:00:00,LINK/EUR,6.48,6.72,6.38,6.69,77845.13869633,520783.97787844774
1654041600,2022-06-01 00:00:00,LINK/EUR,7.05,7.22,6.36,6.52,112863.65499728,735871.0305822656
1653955200,2022-05-31 00:00:00,LINK/EUR,6.95,7.17,6.70,7.12,88180.24791904,627843.3651835648
1653868800,2022-05-30 00:00:00,LINK/EUR,6.27,6.98,6.20,6.92,125417.48732220,867889.012269624
1653782400,2022-05-29 00:00:00,LINK/EUR,6.09,6.28,5.91,6.26,45511.51577229,284902.0887345354
1653696000,2022-05-28 00:00:00,LINK/EUR,5.86,6.18,5.78,6.11,45336.16291328,277003.95540014084
1653609600,2022-05-27 00:00:00,LINK/EUR,6.15,6.23,5.79,5.81,82984.22477234,482138.3459272954
1653523200,2022-05-26 00:00:00,LINK/EUR,6.48,6.61,5.82,6.11,64778.47874760,395796.505147836
1653436800,2022-05-25 00:00:00,LINK/EUR,6.76,6.89,6.50,6.50,41279.71432941,268318.143141165
1653350400,2022-05-24 00:00:00,LINK/EUR,6.55,6.79,6.26,6.74,70999.32468062,478535.4483473789
1653264000,2022-05-23 00:00:00,LINK/EUR,6.90,7.17,6.55,6.56,72518.08381825,475718.62984772
1653177600,2022-05-22 00:00:00,LINK/EUR,6.67,6.99,6.55,6.93,87449.88691678,606027.7163332853
1653091200,2022-05-21 00:00:00,LINK/EUR,6.49,6.70,6.41,6.66,27414.57545997,182581.0725634002
1653004800,2022-05-20 00:00:00,LINK/EUR,6.80,6.94,6.40,6.50,98412.34286383,639680.228614895
1652918400,2022-05-19 00:00:00,LINK/EUR,6.51,6.84,6.33,6.81,76638.71227486,521909.63059179654
1652832000,2022-05-18 00:00:00,LINK/EUR,7.35,7.38,6.47,6.47,79545.18508907,514657.3475262829
1652745600,2022-05-17 00:00:00,LINK/EUR,7.07,7.55,6.93,7.32,81765.55541184,598523.8656146688
1652659200,2022-05-16 00:00:00,LINK/EUR,7.64,7.64,6.86,7.09,92605.59656900,656573.67967421
1652572800,2022-05-15 00:00:00,LINK/EUR,6.97,7.66,6.74,7.66,147802.45554662,1132166.8094871093
1652486400,2022-05-14 00:00:00,LINK/EUR,6.86,7.12,6.38,7.00,105841.17312108,740888.21184756
1652400000,2022-05-13 00:00:00,LINK/EUR,6.31,7.41,6.30,6.85,202400.99416457,1386446.8100273043
1652313600,2022-05-12 00:00:00,LINK/EUR,6.50,7.02,5.05,6.29,375702.88450869,2363171.14355966
1652227200,2022-05-11 00:00:00,LINK/EUR,8.18,8.37,6.22,6.56,417002.29359237,2735535.045965947
1652140800,2022-05-10 00:00:00,LINK/EUR,7.73,8.82,7.49,8.16,331880.00659255,2708140.853795208
1652054400,2022-05-09 00:00:00,LINK/EUR,9.49,9.64,7.58,7.67,154215.12739427,1182830.027114051
1651968000,2022-05-08 00:00:00,LINK/EUR,9.68,9.84,9.33,9.48,53716.63742481,509233.7227871988
1651881600,2022-05-07 00:00:00,LINK/EUR,10.24,10.27,9.49,9.71,44037.73410076,427606.3981183796
1651795200,2022-05-06 00:00:00,LINK/EUR,10.34,10.47,9.85,10.25,62083.56844826,636356.576594665
1651708800,2022-05-05 00:00:00,LINK/EUR,11.50,11.56,10.07,10.36,69988.29921175,725078.77983373
1651622400,2022-05-04 00:00:00,LINK/EUR,10.54,11.47,10.54,11.47,53343.77192491,611853.0639787177
1651536000,2022-05-03 00:00:00,LINK/EUR,10.56,10.94,10.26,10.55,34235.56584221,361185.21963531553
1651449600,2022-05-02 00:00:00,LINK/EUR,10.72,10.79,10.27,10.68,34981.57378310,373603.208003508
1651363200,2022-05-01 00:00:00,LINK/EUR,10.44,10.86,10.29,10.76,35378.24700597,380669.9377842372
1651276800,2022-04-30 00:00:00,LINK/EUR,11.37,11.61,10.14,10.43,37186.92946645,387859.67433507345
1651190400,2022-04-29 00:00:00,LINK/EUR,12.09,12.09,11.23,11.38,30513.19894872,347240.20403643366
1651104000,2022-04-28 00:00:00,LINK/EUR,12.07,12.33,11.81,12.04,46484.76041572,559676.5154052688
1651017600,2022-04-27 00:00:00,LINK/EUR,11.64,12.11,11.58,12.07,38242.14288687,461582.66464452096
1650931200,2022-04-26 00:00:00,LINK/EUR,12.54,12.60,11.46,11.59,45728.00715334,529987.6029072106
1650844800,2022-04-25 00:00:00,LINK/EUR,12.27,12.60,11.67,12.60,66954.29910066,843624.1686683161
1650758400,2022-04-24 00:00:00,LINK/EUR,12.37,12.64,12.26,12.27,67182.70676120,824331.811959924
1650672000,2022-04-23 00:00:00,LINK/EUR,12.60,12.67,12.24,12.37,35477.94759460,438862.211745202
1650585600,2022-04-22 00:00:00,LINK/EUR,12.50,12.83,12.47,12.57,85699.05641599,1077237.1391489943
1650499200,2022-04-21 00:00:00,LINK/EUR,12.93,13.20,12.34,12.56,57858.35855699,726700.9834757944
1650412800,2022-04-20 00:00:00,LINK/EUR,13.18,13.37,12.66,12.93,69644.88450938,900508.3567062834
1650326400,2022-04-19 00:00:00,LINK/EUR,13.05,13.35,12.81,13.20,27230.33192469,359440.381405908
1650240000,2022-04-18 00:00:00,LINK/EUR,12.68,13.04,12.19,13.00,85397.72482509,1110170.42272617
1650153600,2022-04-17 00:00:00,LINK/EUR,13.10,13.51,12.64,12.70,76651.91872362,973479.3677899739
1650067200,2022-04-16 00:00:00,LINK/EUR,13.06,13.20,12.82,13.09,26714.91249032,349698.2044982888
1649980800,2022-04-15 00:00:00,LINK/EUR,12.62,13.11,12.61,13.06,26657.72598905,348149.901416993
1649894400,2022-04-14 00:00:00,LINK/EUR,12.98,13.14,12.32,12.60,51229.31121818,645489.321349068
1649808000,2022-04-13 00:00:00,LINK/EUR,12.92,13.06,12.67,13.03,23430.76419499,305302.85746071965
1649721600,2022-04-12 00:00:00,LINK/EUR,12.68,13.16,12.59,12.93,66518.64588040,860086.091233572
1649635200,2022-04-11 00:00:00,LINK/EUR,13.98,13.98,12.43,12.62,60738.69536014,766522.3354449668
1649548800,2022-04-10 00:00:00,LINK/EUR,14.21,14.61,13.95,13.95,60833.48550797,848627.1228361814
1649462400,2022-04-09 00:00:00,LINK/EUR,13.98,14.22,13.94,14.20,36243.94134814,514663.96714358794
1649376000,2022-04-08 00:00:00,LINK/EUR,14.49,14.65,13.82,13.93,41771.61684874,581878.6227029482
1649289600,2022-04-07 00:00:00,LINK/EUR,14.23,14.59,13.86,14.50,63888.12521487,926377.815615615
1649203200,2022-04-06 00:00:00,LINK/EUR,15.33,15.33,14.05,14.15,107461.43649332,1520579.326380478
1649116800,2022-04-05 00:00:00,LINK/EUR,16.03,16.05,15.29,15.34,44611.97617414,684347.7145113075
1649030400,2022-04-04 00:00:00,LINK/EUR,16.31,16.31,15.36,15.93,49611.39939840,790309.592416512
1648944000,2022-04-03 00:00:00,LINK/EUR,15.77,16.59,15.55,16.38,50323.82938854,824304.3253842851
1648857600,2022-04-02 00:00:00,LINK/EUR,15.68,16.17,15.51,15.77,57740.35319498,910565.3698848346
1648771200,2022-04-01 00:00:00,LINK/EUR,15.34,15.74,14.69,15.71,50277.39039757,789857.8031458248
1648684800,2022-03-31 00:00:00,LINK/EUR,15.40,16.25,15.05,15.15,99965.86567375,1514482.8649573126
1648598400,2022-03-30 00:00:00,LINK/EUR,15.25,15.74,14.90,15.39,42715.90864082,657397.8339822198
1648512000,2022-03-29 00:00:00,LINK/EUR,15.08,15.73,14.98,15.32,69566.80743992,1065763.4899795745
1648425600,2022-03-28 00:00:00,LINK/EUR,15.40,15.83,14.86,15.02,85053.97490185,1277510.703025787
