https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume XRP
1661472000000,2022-08-26 00:00:00,XRP/USDT,0.34899664,0.3707528,0.33298509,0.33918001,312850.45869865466,922372.92728028
1661385600000,2022-08-25 00:00:00,XRP/USDT,0.34551408,0.35185407,0.34371544,0.34904219,198708.00416661025,569295.08769874
1661299200000,2022-08-24 00:00:00,XRP/USDT,0.34737151,0.3523965,0.33924518,0.34557353,184559.25507648895,534066.52724961
1661212800000,2022-08-23 00:00:00,XRP/USDT,0.34400703,0.34782405,0.3329264,0.3470122,205418.25110839712,591962.62007041
1661126400000,2022-08-22 00:00:00,XRP/USDT,0.3447374,0.34492671,0.34072,0.34105481,19197.956102844364,56289.94384464
1661040000000,2022-08-21 00:00:00,XRP/USDT,0.33711914,0.34827515,0.3356773,0.34473299,202084.40843804757,586205.59766574
1660953600000,2022-08-20 00:00:00,XRP/USDT,0.33464153,0.34255166,0.332162,0.33672271,236246.06242958579,701604.18472988
1660867200000,2022-08-19 00:00:00,XRP/USDT,0.3701973,0.37046574,0.33200253,0.33439855,234546.879138944,701399.21102811
1660780800000,2022-08-18 00:00:00,XRP/USDT,0.37961833,0.38097932,0.3695645,0.37030216,238076.17019816712,642924.06557436
1660694400000,2022-08-17 00:00:00,XRP/USDT,0.37719546,0.3915,0.36839457,0.37960028,332362.48054554564,875559.10271074
1660608000000,2022-08-16 00:00:00,XRP/USDT,0.37501005,0.378,0.36692057,0.37696532,229777.22969731543,609544.74458636
1660521600000,2022-08-15 00:00:00,XRP/USDT,0.37572123,0.3850061,0.36641999,0.3750958,229302.20907179418,611316.38656523
1660435200000,2022-08-14 00:00:00,XRP/USDT,0.37785282,0.39155,0.3742,0.3755467,209595.60021988556,558107.9536044
1660348800000,2022-08-13 00:00:00,XRP/USDT,0.3797548,0.38721237,0.37662628,0.37791559,217704.02390961556,576065.21051332
1660262400000,2022-08-12 00:00:00,XRP/USDT,0.38041949,0.38041949,0.37024649,0.37984143,250926.63815783735,660608.92346008
1660176000000,2022-08-11 00:00:00,XRP/USDT,0.38145884,0.38530285,0.37709012,0.38009047,273287.8932921616,719007.4860129
1660089600000,2022-08-10 00:00:00,XRP/USDT,0.36906251,0.38130513,0.35916712,0.38130513,247445.7001544878,648944.06260542
1660003200000,2022-08-09 00:00:00,XRP/USDT,0.37884514,0.37985069,0.37677606,0.37700631,11722.010764747818,31092.34634494
1659916800000,2022-08-08 00:00:00,XRP/USDT,0.37224387,0.38443292,0.37143562,0.37874688,250326.45071871212,660933.36721008
1659830400000,2022-08-07 00:00:00,XRP/USDT,0.37147454,0.37691873,0.36835168,0.37229555,229769.02195847363,617168.32757865
1659744000000,2022-08-06 00:00:00,XRP/USDT,0.376596,0.37748914,0.37063522,0.37152616,210728.1016266531,567195.86482592
1659657600000,2022-08-05 00:00:00,XRP/USDT,0.37110125,0.37862958,0.3675709,0.37628839,250851.54760982786,666647.05655635
1659571200000,2022-08-04 00:00:00,XRP/USDT,0.36927029,0.37476856,0.36454459,0.37083091,204573.13189005674,551661.48876332
1659484800000,2022-08-03 00:00:00,XRP/USDT,0.37151723,0.37712863,0.36343,0.36962002,201448.39016768298,545014.82405548
1659398400000,2022-08-02 00:00:00,XRP/USDT,0.37901405,0.39346664,0.36727,0.37150336,258623.4449082046,696153.71690906
1659312000000,2022-08-01 00:00:00,XRP/USDT,0.37934217,0.38559667,0.37136552,0.37933972,255541.85416091522,673649.08204423
1659225600000,2022-07-31 00:00:00,XRP/USDT,0.38769605,0.39853812,0.37870949,0.37951817,200423.8346959837,528100.76180538
1659139200000,2022-07-30 00:00:00,XRP/USDT,0.3683123,0.40919685,0.36325498,0.3874586,322816.3571060444,833163.48406267
1659052800000,2022-07-29 00:00:00,XRP/USDT,0.37370627,0.37936031,0.35997,0.36771724,227506.9076637186,618700.68333951
1658966400000,2022-07-28 00:00:00,XRP/USDT,0.35967211,0.37887415,0.34928474,0.37378652,216241.3341151375,578515.60327841
1658880000000,2022-07-27 00:00:00,XRP/USDT,0.33734824,0.35978843,0.33049541,0.3593663,247153.45603228087,687748.00539806
1658793600000,2022-07-26 00:00:00,XRP/USDT,0.33630529,0.33844867,0.32564426,0.33760404,202090.468940798,598602.04558215
1658707200000,2022-07-25 00:00:00,XRP/USDT,0.35850022,0.36007999,0.33558547,0.33614801,193009.81896120205,574181.05483118
1658620800000,2022-07-24 00:00:00,XRP/USDT,0.35946002,0.36631757,0.35610149,0.35870052,195590.68426844108,545275.71989146
1658534400000,2022-07-23 00:00:00,XRP/USDT,0.35785271,0.36263965,0.3502011,0.35940268,178931.89535435144,497859.10153578
1658448000000,2022-07-22 00:00:00,XRP/USDT,0.36679698,0.37153999,0.35433957,0.35770784,212838.17594392234,595005.62230876
1658361600000,2022-07-21 00:00:00,XRP/USDT,0.36324303,0.36807514,0.34900999,0.36702999,242791.49239126188,661503.1441743
1658275200000,2022-07-20 00:00:00,XRP/USDT,0.37292273,0.38152514,0.3575702,0.36317358,270101.97173499095,743726.93006741
1658188800000,2022-07-19 00:00:00,XRP/USDT,0.36498411,0.37656351,0.35191629,0.37335133,261835.1824516857,701310.43179004
1658102400000,2022-07-18 00:00:00,XRP/USDT,0.34331141,0.36968701,0.34304558,0.36542203,219202.22256412532,599860.44783377
1658016000000,2022-07-17 00:00:00,XRP/USDT,0.35062959,0.3608523,0.34250165,0.343113,209975.6414119258,611972.26981177
1657929600000,2022-07-16 00:00:00,XRP/USDT,0.33410691,0.35594045,0.33155923,0.35068475,247551.8217814723,705909.85716223
1657843200000,2022-07-15 00:00:00,XRP/USDT,0.33351309,0.34842,0.3277522,0.33418061,203158.7255140049,607930.91949292
1657756800000,2022-07-14 00:00:00,XRP/USDT,0.32368469,0.33380105,0.31272038,0.33358178,211178.50694961037,633063.67317067
1657670400000,2022-07-13 00:00:00,XRP/USDT,0.31166226,0.32554314,0.3031515,0.32372323,241825.6470073439,747013.57393272
1657584000000,2022-07-12 00:00:00,XRP/USDT,0.31473628,0.31768763,0.30814037,0.31141183,179859.11001138866,577560.30017032
1657497600000,2022-07-11 00:00:00,XRP/USDT,0.32565882,0.32886035,0.31091476,0.31522317,175761.91388893445,557579.2981491
1657411200000,2022-07-10 00:00:00,XRP/USDT,0.34464173,0.34493006,0.34134,0.3428932,8732.417622095203,25466.87313162
1657324800000,2022-07-09 00:00:00,XRP/USDT,0.34038477,0.34757998,0.3396174,0.34474507,169244.67782076192,490927.04304883
1657238400000,2022-07-08 00:00:00,XRP/USDT,0.34203014,0.35862535,0.33614533,0.34062279,214437.4690852157,629545.27818064
1657152000000,2022-07-07 00:00:00,XRP/USDT,0.33264537,0.3453395,0.32667635,0.34238075,231367.14984338183,675759.80788459
1657065600000,2022-07-06 00:00:00,XRP/USDT,0.32512659,0.33372094,0.32018469,0.33233196,239499.97982992686,720664.9033392
1656979200000,2022-07-05 00:00:00,XRP/USDT,0.32875468,0.33068308,0.31353813,0.3254174,246629.13485311499,757885.51827012
1656892800000,2022-07-04 00:00:00,XRP/USDT,0.32156665,0.32953027,0.31501849,0.32883072,204902.31768394538,623124.01251302
1656806400000,2022-07-03 00:00:00,XRP/USDT,0.31552052,0.32553799,0.3095235,0.3213932,213990.0859856256,665820.20399195
1656720000000,2022-07-02 00:00:00,XRP/USDT,0.31408844,0.3176812,0.31,0.31546361,404160.48730528593,1281163.57796478
1656633600000,2022-07-01 00:00:00,XRP/USDT,0.33206392,0.33570418,0.31061901,0.3139542,351489.13182144286,1119555.43777227
1656547200000,2022-06-30 00:00:00,XRP/USDT,0.32955439,0.33249596,0.30646,0.33215335,428589.73934062116,1290336.9462949
1656460800000,2022-06-29 00:00:00,XRP/USDT,0.33735468,0.3412569,0.32108089,0.32957307,215699.83010093644,654482.57074201
1656374400000,2022-06-28 00:00:00,XRP/USDT,0.35390283,0.35543766,0.35197254,0.35287268,11013.862953816672,31212.00245317
1656288000000,2022-06-27 00:00:00,XRP/USDT,0.35909124,0.36648685,0.34868784,0.353569,194492.58663668254,550083.82136636
1656201600000,2022-06-26 00:00:00,XRP/USDT,0.36759174,0.37487628,0.35798995,0.3590264,211560.58079229417,589261.90606678
1656115200000,2022-06-25 00:00:00,XRP/USDT,0.36739482,0.37324536,0.35403897,0.36759517,209283.28198328728,569330.88098869
1656028800000,2022-06-24 00:00:00,XRP/USDT,0.33552465,0.38605805,0.3349034,0.36704321,410298.5311718545,1117848.03530858
1655942400000,2022-06-23 00:00:00,XRP/USDT,0.32227309,0.33656985,0.32177666,0.33561243,245584.95476877643,731751.66595819
1655856000000,2022-06-22 00:00:00,XRP/USDT,0.32914027,0.32917503,0.31917226,0.32218924,219358.17690582658,680836.4453941
1655769600000,2022-06-21 00:00:00,XRP/USDT,0.32255065,0.33681591,0.31898213,0.32922771,314779.1249241797,956113.70295708
1655683200000,2022-06-20 00:00:00,XRP/USDT,0.32604928,0.32837113,0.3139822,0.32274093,199883.84737587222,619332.19122803
1655596800000,2022-06-19 00:00:00,XRP/USDT,0.30843206,0.33210696,0.29848255,0.32644663,226800.41403457025,694754.95591598
1655510400000,2022-06-18 00:00:00,XRP/USDT,0.32116459,0.32602351,0.28820342,0.3078277,505135.8294617577,1640969.37820007
1655424000000,2022-06-17 00:00:00,XRP/USDT,0.31290561,0.33969837,0.31093454,0.32125787,291529.19978632074,907461.65934027
1655337600000,2022-06-16 00:00:00,XRP/USDT,0.34419117,0.3466793,0.30753411,0.31284866,241604.55282590343,772272.93486219
1655251200000,2022-06-15 00:00:00,XRP/USDT,0.32142238,0.3461583,0.29850308,0.34351855,402270.81847019,1171030.84671902
1655164800000,2022-06-14 00:00:00,XRP/USDT,0.31121525,0.3264678,0.29415768,0.32151519,318474.472988009,990542.54011454
1655078400000,2022-06-13 00:00:00,XRP/USDT,0.34356208,0.34995001,0.30135893,0.31171668,484568.849942042,1554516.90920756
1654992000000,2022-06-12 00:00:00,XRP/USDT,0.35969665,0.36524066,0.33879821,0.34358999,267799.84554641915,779416.9019488
1654905600000,2022-06-11 00:00:00,XRP/USDT,0.38114842,0.38809275,0.35444,0.35959349,351833.03947095363,978418.82363041
1654819200000,2022-06-10 00:00:00,XRP/USDT,0.40006676,0.41109,0.37704163,0.38140538,247612.10344172653,649209.78157604
1654732800000,2022-06-09 00:00:00,XRP/USDT,0.40074418,0.40395244,0.3969145,0.40017222,207354.31184715457,518162.684674
1654646400000,2022-06-08 00:00:00,XRP/USDT,0.40737491,0.40982643,0.39516883,0.40032063,218850.06216493112,546686.94482453
1654560000000,2022-06-07 00:00:00,XRP/USDT,0.40264843,0.41711307,0.38495,0.40766749,296742.91899934446,727904.30014261
1654473600000,2022-06-06 00:00:00,XRP/USDT,0.39538331,0.40908979,0.39415399,0.40283018,260536.72389751414,646765.65171337
1654387200000,2022-06-05 00:00:00,XRP/USDT,0.39220674,0.39925342,0.3899221,0.3955511,204657.50727889236,517398.40258033
1654300800000,2022-06-04 00:00:00,XRP/USDT,0.39021847,0.39380665,0.38507963,0.39199642,197954.80412883754,504991.35713749
1654214400000,2022-06-03 00:00:00,XRP/USDT,0.40528163,0.40999007,0.38429,0.38998423,240499.77754866207,616691.03273397
1654128000000,2022-06-02 00:00:00,XRP/USDT,0.39774797,0.40679924,0.391,0.40529844,251428.3021437086,620353.49098237
1654041600000,2022-06-01 00:00:00,XRP/USDT,0.42156077,0.4259868,0.38939156,0.39785765,306986.1222792853,771597.88753411
1653955200000,2022-05-31 00:00:00,XRP/USDT,0.41818443,0.4335095,0.40703779,0.42160137,311735.28117832827,739407.65699677
1653868800000,2022-05-30 00:00:00,XRP/USDT,0.38909817,0.41908793,0.38727235,0.41843576,300735.97878460254,718714.81248305
1653782400000,2022-05-29 00:00:00,XRP/USDT,0.3860239,0.39038714,0.37969397,0.38913951,203884.42179624693,523936.57430531
1653696000000,2022-05-28 00:00:00,XRP/USDT,0.38176636,0.38839928,0.38063272,0.38618969,206040.71879498666,533522.05957385
1653609600000,2022-05-27 00:00:00,XRP/USDT,0.39210808,0.40247164,0.37672653,0.38129771,235720.5267048635,618205.98582893
1653523200000,2022-05-26 00:00:00,XRP/USDT,0.40603994,0.41063657,0.37612671,0.39246148,287263.30770681263,731952.87269164
1653436800000,2022-05-25 00:00:00,XRP/USDT,0.40824049,0.41321334,0.39555379,0.4060809,245206.95121856194,603837.68657566
1653350400000,2022-05-24 00:00:00,XRP/USDT,0.40532634,0.414202,0.391,0.4084752,212653.7745928544,520603.88144214
1653264000000,2022-05-23 00:00:00,XRP/USDT,0.42170326,0.42830741,0.40071329,0.4046804,242545.11472482994,599349.79486239
1653177600000,2022-05-22 00:00:00,XRP/USDT,0.41435972,0.42499448,0.41033748,0.42189567,228582.7462869868,541799.22322262
1653091200000,2022-05-21 00:00:00,XRP/USDT,0.41062462,0.41771661,0.4036,0.41436688,203843.90057729243,491940.62174393
1653004800000,2022-05-20 00:00:00,XRP/USDT,0.4205448,0.44023554,0.40192883,0.41018072,279989.9875377364,682601.53119273
1652918400000,2022-05-19 00:00:00,XRP/USDT,0.40551077,0.42369,0.39100001,0.42028321,298328.2059965673,709826.60952972
1652832000000,2022-05-18 00:00:00,XRP/USDT,0.43781328,0.44225458,0.40437795,0.40548047,283492.36317201366,699151.70802681
1652745600000,2022-05-17 00:00:00,XRP/USDT,0.42329085,0.43969851,0.417791,0.43745024,277942.64005969756,635369.72813113
1652659200000,2022-05-16 00:00:00,XRP/USDT,0.44777468,0.44777468,0.40790111,0.42278356,321639.42164437723,760766.15099314
1652572800000,2022-05-15 00:00:00,XRP/USDT,0.42598799,0.44907078,0.41471617,0.44762761,316145.9129005921,706269.91239569
1652486400000,2022-05-14 00:00:00,XRP/USDT,0.42278605,0.44075398,0.39630679,0.42596946,331221.2374883884,777570.38612202
1652400000000,2022-05-13 00:00:00,XRP/USDT,0.3853305,0.464,0.38169766,0.422721,475041.7087465427,1123771.25514593
1652313600000,2022-05-12 00:00:00,XRP/USDT,0.41661918,0.42861567,0.33636846,0.38521698,911062.0450635019,2365062.01015205
1652227200000,2022-05-11 00:00:00,XRP/USDT,0.51278813,0.52263082,0.36648894,0.41611959,862809.1743974603,2073464.4441937
1652140800000,2022-05-10 00:00:00,XRP/USDT,0.48762,0.536,0.47359943,0.51302565,432672.56294587697,843374.13333208
1652054400000,2022-05-09 00:00:00,XRP/USDT,0.56660375,0.57784653,0.47281631,0.48845,486563.3147374307,996137.40349561
1651968000000,2022-05-08 00:00:00,XRP/USDT,0.58171537,0.5829427,0.5585821,0.56640339,334666.68895059824,590862.79294797
1651881600000,2022-05-07 00:00:00,XRP/USDT,0.60234802,0.60419198,0.56873093,0.58141892,305612.05371402,525631.42202875
1651795200000,2022-05-06 00:00:00,XRP/USDT,0.59810769,0.61579193,0.5879,0.60237657,341340.4737260552,566656.29230243
1651708800000,2022-05-05 00:00:00,XRP/USDT,0.64561624,0.65666948,0.58141656,0.59796322,418093.0794439918,699195.31078181
1651622400000,2022-05-04 00:00:00,XRP/USDT,0.60464472,0.64922001,0.60459391,0.64602464,428043.88047359145,662581.35366724
1651536000000,2022-05-03 00:00:00,XRP/USDT,0.61433485,0.6272104,0.59620413,0.60491202,310996.8831884285,514119.19900092
1651449600000,2022-05-02 00:00:00,XRP/USDT,0.60634037,0.63,0.59862764,0.61426935,345181.56590478413,561938.4491588
1651363200000,2022-05-01 00:00:00,XRP/USDT,0.58424893,0.61144361,0.57679228,0.60694267,360453.93027225207,593884.64197492
1651276800000,2022-04-30 00:00:00,XRP/USDT,0.61187111,0.62807221,0.56723044,0.58474869,388957.8306118501,665170.93114283
1651190400000,2022-04-29 00:00:00,XRP/USDT,0.6430129,0.64599375,0.6001,0.61145142,393590.0595028554,643698.00548154
1651104000000,2022-04-28 00:00:00,XRP/USDT,0.65159587,0.657,0.63441253,0.64324981,499088.7704128935,775886.38605722
1651017600000,2022-04-27 00:00:00,XRP/USDT,0.64188833,0.66207205,0.63714697,0.65226979,406343.3374609906,622968.20072104
1650931200000,2022-04-26 00:00:00,XRP/USDT,0.69332099,0.70599773,0.62805587,0.64194001,448956.0850998071,699373.89492175
1650844800000,2022-04-25 00:00:00,XRP/USDT,0.69880635,0.69928129,0.64674425,0.69334036,507466.181267618,731914.95915169
1650758400000,2022-04-24 00:00:00,XRP/USDT,0.70570856,0.7098897,0.70553345,0.70907646,16031.878495646602,22609.52012939
1650672000000,2022-04-23 00:00:00,XRP/USDT,0.71836953,0.72605997,0.70418958,0.70595478,385326.0523867299,545822.57008973
1650585600000,2022-04-22 00:00:00,XRP/USDT,0.73245741,0.73826523,0.71520001,0.71821438,409174.03162338294,569710.16317354
1650412800000,2022-04-20 00:00:00,XRP/USDT,0.77463697,0.77482025,0.76273885,0.76781054,18065.631170780445,23528.76162755
1650326400000,2022-04-19 00:00:00,XRP/USDT,0.76954768,0.78084441,0.75949999,0.7749248,486631.6031007031,627972.67954349
1650240000000,2022-04-18 00:00:00,XRP/USDT,0.75212462,0.76938563,0.722469,0.769,481663.56482699915,626350.53943693
1650153600000,2022-04-17 00:00:00,XRP/USDT,0.78130832,0.785,0.74894219,0.75216053,428482.31251054857,569668.70158761
1650067200000,2022-04-16 00:00:00,XRP/USDT,0.78569659,0.79942,0.76672394,0.78123832,433077.9819698565,554348.10464732
1649980800000,2022-04-15 00:00:00,XRP/USDT,0.7266248,0.79650178,0.7266248,0.78566,655130.881013778,833860.55165565
1649894400000,2022-04-14 00:00:00,XRP/USDT,0.72336892,0.74068975,0.709,0.7263814,412880.01376004453,568406.64389265
1649808000000,2022-04-13 00:00:00,XRP/USDT,0.7151,0.725,0.70215295,0.72290516,387782.08424777066,536421.79597635
1649721600000,2022-04-12 00:00:00,XRP/USDT,0.69528201,0.7247,0.69288904,0.71493978,483200.86166090646,675862.32460153
1649635200000,2022-04-11 00:00:00,XRP/USDT,0.7536744,0.75488351,0.68172033,0.69461067,498026.930213932,716987.15802038
1649548800000,2022-04-10 00:00:00,XRP/USDT,0.76272205,0.76279872,0.76093145,0.76157691,13208.589261599878,17343.73651323
1649462400000,2022-04-09 00:00:00,XRP/USDT,0.75435499,0.76610976,0.75423289,0.76233472,411014.4850970612,539152.25728806
1649376000000,2022-04-08 00:00:00,XRP/USDT,0.78720284,0.79320545,0.74754625,0.75501243,429652.97784138756,569067.42295804
1649289600000,2022-04-07 00:00:00,XRP/USDT,0.75909355,0.79,0.75360784,0.78751902,433636.3566298704,550636.04258075
1649203200000,2022-04-06 00:00:00,XRP/USDT,0.81662305,0.81802809,0.75772297,0.75912448,546724.7678071525,720204.36991724
1649116800000,2022-04-05 00:00:00,XRP/USDT,0.82645054,0.83491956,0.81604423,0.81685793,422486.1267177147,517208.82077709
