https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume AUD,tradecount
1663545600000,2022-09-19 00:00:00,BTC/AUD,28882.17000000,28946.19000000,28825.90000000,28859.18000000,8.61702000,248880.15974120,647
1663459200000,2022-09-18 00:00:00,BTC/AUD,29979.81000000,29981.40000000,28823.61000000,28889.31000000,294.33935000,8688787.47235090,22296
1663372800000,2022-09-17 00:00:00,BTC/AUD,29510.00000000,30067.07000000,29450.00000000,29979.87000000,237.74588000,7066919.29316290,16169
1663286400000,2022-09-16 00:00:00,BTC/AUD,29474.71000000,29748.64000000,28899.41000000,29499.57000000,484.78418000,14266274.99708130,32743
1663200000000,2022-09-15 00:00:00,BTC/AUD,29985.55000000,30098.64000000,29100.00000000,29483.22000000,462.43474000,13740634.25204640,44871
1663113600000,2022-09-14 00:00:00,BTC/AUD,29935.09000000,30477.28000000,29115.66000000,29986.28000000,566.85885000,17026985.09253980,52600
1663027200000,2022-09-13 00:00:00,BTC/AUD,32487.68000000,33041.41000000,29553.55000000,29928.97000000,706.27529000,22357010.79891480,65264
1662940800000,2022-09-12 00:00:00,BTC/AUD,31903.30000000,32702.60000000,31536.46000000,32495.91000000,578.98249000,18630417.44973200,33189
1662854400000,2022-09-11 00:00:00,BTC/AUD,31700.71000000,32000.00000000,31280.97000000,31910.03000000,375.68138000,11879129.35875780,20140
1662768000000,2022-09-10 00:00:00,BTC/AUD,31216.88000000,31910.00000000,30905.73000000,31702.44000000,421.12561000,13168636.19747960,31114
1662681600000,2022-09-09 00:00:00,BTC/AUD,28557.83000000,31547.85000000,28428.41000000,31214.47000000,788.71593000,23870427.67777590,41662
1662595200000,2022-09-08 00:00:00,BTC/AUD,28589.02000000,28811.33000000,28250.00000000,28546.46000000,523.39546000,14946169.94639460,26993
1662508800000,2022-09-07 00:00:00,BTC/AUD,27937.17000000,28761.38000000,27610.00000000,28564.77000000,569.01554000,15981281.73534860,26342
1662422400000,2022-09-06 00:00:00,BTC/AUD,29046.15000000,29585.65000000,27775.00000000,27924.33000000,689.48784000,19881568.64620660,32666
1662336000000,2022-09-05 00:00:00,BTC/AUD,29457.95000000,29536.65000000,28902.94000000,29037.55000000,466.86976000,13611944.30965990,21433
1662249600000,2022-09-04 00:00:00,BTC/AUD,29209.89000000,29487.24000000,28840.00000000,29444.59000000,280.74303000,8192869.03088220,13696
1662163200000,2022-09-03 00:00:00,BTC/AUD,29355.48000000,29469.78000000,28942.28000000,29208.67000000,199.92061000,5836513.22612580,12850
1662076800000,2022-09-02 00:00:00,BTC/AUD,29634.94000000,29900.58000000,29032.42000000,29336.69000000,525.91976000,15544569.99469500,25608
1661990400000,2022-09-01 00:00:00,BTC/AUD,29377.48000000,29688.26000000,28917.00000000,29636.12000000,541.43662000,15889554.28957780,22163
1661904000000,2022-08-31 00:00:00,BTC/AUD,28949.89000000,29811.35000000,28926.90000000,29394.53000000,586.88252000,17312346.28532500,26339
1661817600000,2022-08-30 00:00:00,BTC/AUD,29404.86000000,29811.35000000,28570.73000000,28919.99000000,566.62674000,16585067.42840150,20565
1661731200000,2022-08-29 00:00:00,BTC/AUD,28532.47000000,29614.12000000,28487.11000000,29400.01000000,541.08962000,15653388.42442570,19673
1661644800000,2022-08-28 00:00:00,BTC/AUD,29146.94000000,29324.26000000,28494.70000000,28543.47000000,256.51615000,7439109.04173880,10805
1661558400000,2022-08-27 00:00:00,BTC/AUD,29437.77000000,29599.68000000,28805.70000000,29157.65000000,399.28715000,11684781.83804390,39402
1661472000000,2022-08-26 00:00:00,BTC/AUD,30982.83000000,31265.66000000,29270.74000000,29445.17000000,531.07499000,16214248.24565600,25492
1661385600000,2022-08-25 00:00:00,BTC/AUD,30957.66000000,31291.33000000,30802.28000000,30990.58000000,331.29803000,10285998.17538990,14477
1661299200000,2022-08-24 00:00:00,BTC/AUD,31135.13000000,31639.79000000,30684.78000000,30972.18000000,446.13744000,13849132.40027350,16269
1661212800000,2022-08-23 00:00:00,BTC/AUD,31154.74000000,31369.49000000,30467.67000000,31127.38000000,490.86371000,15228273.18739150,17916
1661126400000,2022-08-22 00:00:00,BTC/AUD,31309.44000000,31375.37000000,30403.84000000,31160.79000000,621.43525000,19198015.68073850,23200
1661040000000,2022-08-21 00:00:00,BTC/AUD,30818.36000000,31689.12000000,30683.00000000,31313.74000000,304.87494000,9491021.95932440,16022
1660953600000,2022-08-20 00:00:00,BTC/AUD,30400.48000000,31160.62000000,30255.56000000,30818.36000000,291.17886000,8978563.59505340,11066
1660867200000,2022-08-19 00:00:00,BTC/AUD,33601.66000000,33626.10000000,30330.00000000,30387.05000000,496.01977000,15734320.89822440,32484
1660780800000,2022-08-18 00:00:00,BTC/AUD,33721.24000000,33968.68000000,33483.47000000,33604.08000000,275.65375000,9322959.54405260,31575
1660694400000,2022-08-17 00:00:00,BTC/AUD,34033.84000000,34919.67000000,33466.28000000,33737.33000000,305.71606000,10456725.57679320,14564
1660608000000,2022-08-16 00:00:00,BTC/AUD,34350.07000000,34577.63000000,33800.00000000,34023.71000000,260.46644000,8907075.93853050,10706
1660521600000,2022-08-15 00:00:00,BTC/AUD,34194.05000000,35503.73000000,33861.27000000,34345.98000000,358.46054000,12345554.72742420,15255
1660435200000,2022-08-14 00:00:00,BTC/AUD,34359.60000000,35210.00000000,34002.33000000,34197.63000000,194.83886000,6723733.52214210,7637
1660348800000,2022-08-13 00:00:00,BTC/AUD,34318.66000000,34937.75000000,34168.60000000,34354.01000000,262.13825000,9054420.62526480,10392
1660262400000,2022-08-12 00:00:00,BTC/AUD,33754.39000000,34393.17000000,33348.98000000,34322.91000000,363.33418000,12263289.57673680,14683
