https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume ADA
1663545600000,2022-09-19 00:00:00,ADA/USDT,0.44684457,0.45108184,0.44443037,0.45077465,2228.6298696,4944.0
1663459200000,2022-09-18 00:00:00,ADA/USDT,0.48596099,0.48909979,0.44128902,0.44710269,79712.76194077896,178287.36825712
1663372800000,2022-09-17 00:00:00,ADA/USDT,0.47471555,0.48745247,0.47152465,0.4859945,52043.244526102346,107086.07715952
1663286400000,2022-09-16 00:00:00,ADA/USDT,0.46588843,0.47445208,0.45293978,0.47445208,46259.96814331312,97501.87657163
1663200000000,2022-09-15 00:00:00,ADA/USDT,0.47671066,0.48109067,0.46236735,0.46549995,50355.01271759163,108174.04538409
1663113600000,2022-09-14 00:00:00,ADA/USDT,0.46669385,0.48625032,0.46469595,0.48069657,37391.7366521814,77786.56846289
1663027200000,2022-09-13 00:00:00,ADA/USDT,0.50146565,0.50777947,0.46138842,0.46289455,43162.898482408804,93245.63981669
1662940800000,2022-09-12 00:00:00,ADA/USDT,0.50825509,0.51935316,0.49600504,0.50140631,54246.680066277484,108189.06540342
1662854400000,2022-09-11 00:00:00,ADA/USDT,0.5123134,0.51925654,0.50125423,0.5095096,48431.497947926444,95055.12349115
1662768000000,2022-09-10 00:00:00,ADA/USDT,0.50190735,0.52358568,0.49498253,0.51188676,56612.9623627729,110596.6529839
1662681600000,2022-09-09 00:00:00,ADA/USDT,0.47911638,0.50443892,0.47791376,0.50223321,54262.3721804345,108042.18259568
1662595200000,2022-09-08 00:00:00,ADA/USDT,0.47845623,0.48233133,0.46319081,0.47929121,52527.848326841326,109594.85012638
1662508800000,2022-09-07 00:00:00,ADA/USDT,0.4621753,0.48225123,0.45455009,0.47809756,53996.33475731677,112939.99232566
1662422400000,2022-09-06 00:00:00,ADA/USDT,0.49863084,0.51159803,0.46158874,0.46203646,56567.06845140887,122429.88021207
1662336000000,2022-09-05 00:00:00,ADA/USDT,0.50313152,0.50596473,0.48288401,0.49808888,48385.27306058123,97141.84556897
1662249600000,2022-09-04 00:00:00,ADA/USDT,0.47967996,0.50673667,0.4755511,0.50342283,55832.81654459662,110906.40554501
1662163200000,2022-09-03 00:00:00,ADA/USDT,0.4542835,0.48487165,0.45353339,0.47985563,47801.53705182475,99616.49726153
1662076800000,2022-09-02 00:00:00,ADA/USDT,0.45744414,0.46594951,0.44853886,0.45419644,44706.30604019985,98429.45057033
1661990400000,2022-09-01 00:00:00,ADA/USDT,0.44476476,0.462013,0.44134203,0.45720004,43199.603345939235,94487.31313746
1661904000000,2022-08-31 00:00:00,ADA/USDT,0.45287821,0.4632598,0.4445733,0.44480132,40925.15512920395,92007.7196021
1661817600000,2022-08-30 00:00:00,ADA/USDT,0.45032075,0.46287934,0.43909108,0.4525088,44351.631751632885,98012.74970041
1661731200000,2022-08-29 00:00:00,ADA/USDT,0.42949605,0.45248912,0.42535584,0.45015846,42816.27122666175,95113.77666136
1661644800000,2022-08-28 00:00:00,ADA/USDT,0.44926836,0.45278655,0.42761384,0.42856252,40702.48184728002,94974.43184551
1661558400000,2022-08-27 00:00:00,ADA/USDT,0.43035898,0.45065929,0.42696316,0.449463,44628.813245230274,99293.63094455
1661472000000,2022-08-26 00:00:00,ADA/USDT,0.46452989,0.48243462,0.42684981,0.4315776,48303.36275633073,111922.77531626
1661385600000,2022-08-25 00:00:00,ADA/USDT,0.4580449,0.47341845,0.45765737,0.4642626,45563.64492221441,98141.96733102
1661299200000,2022-08-24 00:00:00,ADA/USDT,0.46529415,0.46766387,0.45365629,0.45744985,43840.54744785839,95836.83861271
1661212800000,2022-08-23 00:00:00,ADA/USDT,0.46132028,0.46895664,0.44661424,0.46452723,48025.03713574199,103384.76204235
1661126400000,2022-08-22 00:00:00,ADA/USDT,0.46241838,0.46268017,0.438,0.46169109,45341.914206784684,98208.33710866
1661040000000,2022-08-21 00:00:00,ADA/USDT,0.45080269,0.47141089,0.44701027,0.46290115,48616.34191389292,105025.32109478
1660953600000,2022-08-20 00:00:00,ADA/USDT,0.45029694,0.46232393,0.43606221,0.45104531,47377.33185521264,105038.96350283
1660867200000,2022-08-19 00:00:00,ADA/USDT,0.5131682,0.51370762,0.44541308,0.45087997,65204.016371420155,144615.0210918
1660780800000,2022-08-18 00:00:00,ADA/USDT,0.53733865,0.54394027,0.51233712,0.51316322,50689.43093428711,98778.37880565
1660694400000,2022-08-17 00:00:00,ADA/USDT,0.55680399,0.5817766,0.53216349,0.53738457,68671.73775756864,127788.81566616
1660608000000,2022-08-16 00:00:00,ADA/USDT,0.54846173,0.5691432,0.5479948,0.5572173,57781.34678321994,103696.25419602
1660521600000,2022-08-15 00:00:00,ADA/USDT,0.56963786,0.58161582,0.54381299,0.54937617,58044.089877067214,105654.54609556
1660435200000,2022-08-14 00:00:00,ADA/USDT,0.55890052,0.59360505,0.55640258,0.56931084,57001.534505004835,100123.74699383
1660348800000,2022-08-13 00:00:00,ADA/USDT,0.54074024,0.56745905,0.5377807,0.55925172,97590.06072834943,174501.1364978
1660262400000,2022-08-12 00:00:00,ADA/USDT,0.53050943,0.54118016,0.52140298,0.54016103,60604.22698629314,112196.59253518
1660176000000,2022-08-11 00:00:00,ADA/USDT,0.53755753,0.54655744,0.52870601,0.52997252,49452.682182008975,93311.78564128
1660089600000,2022-08-10 00:00:00,ADA/USDT,0.51389234,0.53883788,0.50789695,0.53726586,61867.180721751225,115151.89281104
1660003200000,2022-08-09 00:00:00,ADA/USDT,0.53705023,0.53719407,0.52878106,0.52878106,2494.2602600200003,4717.0
1659916800000,2022-08-08 00:00:00,ADA/USDT,0.52742619,0.54858836,0.52257793,0.53694051,57868.5163025556,107774.53968328
1659830400000,2022-08-07 00:00:00,ADA/USDT,0.51106608,0.53691148,0.50695445,0.52731253,66260.43734897728,125656.86111987
1659744000000,2022-08-06 00:00:00,ADA/USDT,0.51732681,0.52173141,0.51055229,0.51108508,54395.288501429095,106430.98503566
1659657600000,2022-08-05 00:00:00,ADA/USDT,0.49992027,0.51830584,0.49895958,0.51706467,50253.71394314293,97190.38421856
1659571200000,2022-08-04 00:00:00,ADA/USDT,0.50057317,0.511425,0.49341137,0.49883724,48392.593951877265,97010.78843247
1659484800000,2022-08-03 00:00:00,ADA/USDT,0.49644298,0.5163738,0.4896685,0.50054092,48700.58303320427,97295.90746188
1659398400000,2022-08-02 00:00:00,ADA/USDT,0.51299425,0.51435484,0.48881516,0.49616843,50272.33418787188,101321.10619749
1659312000000,2022-08-01 00:00:00,ADA/USDT,0.51566087,0.52530995,0.50071716,0.5121229,51753.93024765452,101057.63723445
1659225600000,2022-07-31 00:00:00,ADA/USDT,0.52609973,0.54388628,0.51305857,0.51710378,57094.72340207782,110412.50443398
1659139200000,2022-07-30 00:00:00,ADA/USDT,0.52150515,0.55378963,0.51053693,0.52472697,54045.84512716056,102998.031771
1659052800000,2022-07-29 00:00:00,ADA/USDT,0.51325094,0.544,0.50767018,0.52192871,68366.65425984286,130988.49124403
1658966400000,2022-07-28 00:00:00,ADA/USDT,0.5113124,0.52436771,0.49,0.51310849,55500.8057792535,108165.83015271
1658880000000,2022-07-27 00:00:00,ADA/USDT,0.46748124,0.51123977,0.45868348,0.51073037,52356.438214521324,102512.87428731
1658793600000,2022-07-26 00:00:00,ADA/USDT,0.47585069,0.47650265,0.45149498,0.46766868,48593.228306356825,103905.24399957
1658707200000,2022-07-25 00:00:00,ADA/USDT,0.51167041,0.51540919,0.47462747,0.47504455,54542.34210635908,114815.21492323
1658620800000,2022-07-24 00:00:00,ADA/USDT,0.51690603,0.535,0.51027704,0.51206836,49070.63379817469,95828.28706342
1658534400000,2022-07-23 00:00:00,ADA/USDT,0.48315883,0.51861185,0.47372634,0.51736413,48026.26385231618,92828.7468486
1658448000000,2022-07-22 00:00:00,ADA/USDT,0.4984139,0.51113146,0.47763655,0.4825197,50315.68963099717,104276.96450735
1658361600000,2022-07-21 00:00:00,ADA/USDT,0.49001045,0.50173059,0.47539133,0.49922693,50058.600888959,100272.23669396
1658275200000,2022-07-20 00:00:00,ADA/USDT,0.51542699,0.54784891,0.4875118,0.49117595,57771.13235058851,117617.9989077
1658188800000,2022-07-19 00:00:00,ADA/USDT,0.48979327,0.525,0.47339586,0.51547167,52996.21298451858,102811.10693148
1658102400000,2022-07-18 00:00:00,ADA/USDT,0.44757872,0.49807926,0.44549943,0.49139375,57706.76724785108,117434.88240917
1658016000000,2022-07-17 00:00:00,ADA/USDT,0.45819404,0.46526554,0.44259237,0.44735039,43553.28157165827,97358.31809973
1657929600000,2022-07-16 00:00:00,ADA/USDT,0.44215702,0.45854811,0.43183188,0.4580105,43689.42076805823,95389.56152328
1657843200000,2022-07-15 00:00:00,ADA/USDT,0.44199364,0.45286465,0.43274759,0.44195762,42865.099929967895,96989.16364417
1657756800000,2022-07-14 00:00:00,ADA/USDT,0.43840716,0.4454848,0.41737397,0.4414605,44843.180090844464,101579.14488577
1657670400000,2022-07-13 00:00:00,ADA/USDT,0.41761832,0.43956082,0.40555,0.43844063,47117.35186500454,107465.7516686
1657584000000,2022-07-12 00:00:00,ADA/USDT,0.43349028,0.44146118,0.41585228,0.41714703,37979.46841637438,91045.76009177
1657497600000,2022-07-11 00:00:00,ADA/USDT,0.46265043,0.46283982,0.43282585,0.43469576,40275.17866467598,92651.41823485
1657411200000,2022-07-10 00:00:00,ADA/USDT,0.47812794,0.47951565,0.45601555,0.46244584,54423.49433388698,117686.20155365
1657324800000,2022-07-09 00:00:00,ADA/USDT,0.46628677,0.48439872,0.46561895,0.47835531,43074.361270591915,90046.79235314
1657238400000,2022-07-08 00:00:00,ADA/USDT,0.47825209,0.49190274,0.46117757,0.46602844,57608.03276439898,123614.84368722
1657152000000,2022-07-07 00:00:00,ADA/USDT,0.46248937,0.48253597,0.46096445,0.4776561,42680.604016672456,89354.25302152
1657065600000,2022-07-06 00:00:00,ADA/USDT,0.45721604,0.46538293,0.4478809,0.46208975,38625.554904123164,83588.8588832
1656979200000,2022-07-05 00:00:00,ADA/USDT,0.46942349,0.47169719,0.445,0.45756439,39991.97751216945,87401.85728214
1656892800000,2022-07-04 00:00:00,ADA/USDT,0.45590115,0.47350244,0.44484615,0.46937549,42019.576038243904,89522.30556019
1656806400000,2022-07-03 00:00:00,ADA/USDT,0.45541484,0.4597147,0.44375157,0.45681463,39537.51435501415,86550.45560825
1656720000000,2022-07-02 00:00:00,ADA/USDT,0.44890532,0.46078067,0.44038213,0.45491652,43823.091082794206,96332.16020116
1656633600000,2022-07-01 00:00:00,ADA/USDT,0.45962173,0.47355463,0.44300801,0.44798363,42962.78896483954,95902.58680845
1656547200000,2022-06-30 00:00:00,ADA/USDT,0.46556179,0.46739258,0.43461762,0.45956972,47071.897213177755,102426.0197412
1656460800000,2022-06-29 00:00:00,ADA/USDT,0.46965408,0.47608844,0.45933402,0.46603113,43268.58247536253,92844.83308092
1656374400000,2022-06-28 00:00:00,ADA/USDT,0.48713488,0.48830529,0.48142281,0.4852239,2465.015111679465,5080.1601316
1656288000000,2022-06-27 00:00:00,ADA/USDT,0.49032743,0.50894433,0.47839978,0.48508028,48092.678432362,99143.75087019
1656201600000,2022-06-26 00:00:00,ADA/USDT,0.49871032,0.524999,0.48796574,0.48971303,52990.02732906076,108206.28425807
1656115200000,2022-06-25 00:00:00,ADA/USDT,0.49872684,0.50750007,0.47872307,0.49897245,53260.617356733965,106740.59731501
1656028800000,2022-06-24 00:00:00,ADA/USDT,0.48019182,0.50777152,0.4763054,0.49728241,47530.226294877124,95579.94680503
1655942400000,2022-06-23 00:00:00,ADA/USDT,0.45943032,0.48199338,0.45943032,0.47975395,20072.96700580871,41840.1286864
1655856000000,2022-06-22 00:00:00,ADA/USDT,0.47511941,0.47863529,0.43501,0.4577007,13897.42994408875,30363.57590034
1655769600000,2022-06-21 00:00:00,ADA/USDT,0.4905764,0.51,0.47766133,0.47766133,5864.826187154148,12278.21014348
1655683200000,2022-06-20 00:00:00,ADA/USDT,0.48635866,0.50605618,0.46261127,0.49420666,6968.326860930761,14100.02621359
1655596800000,2022-06-19 00:00:00,ADA/USDT,0.45863396,0.48779495,0.4385742,0.48377045,8550.422031414164,17674.54384908
1655510400000,2022-06-18 00:00:00,ADA/USDT,0.49157668,0.49420666,0.423,0.455265,7654.862520774812,16814.08085571
