https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume XVG
1605049200,2020-11-10 23:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
1605045600,2020-11-10 22:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
1605042000,2020-11-10 21:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
1605038400,2020-11-10 20:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
1605034800,2020-11-10 19:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
1605031200,2020-11-10 18:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
1605027600,2020-11-10 17:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
1605024000,2020-11-10 16:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
1605020400,2020-11-10 15:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
1605016800,2020-11-10 14:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
1605013200,2020-11-10 13:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
1605009600,2020-11-10 12:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
1605006000,2020-11-10 11:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
1605002400,2020-11-10 10:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
1604998800,2020-11-10 09:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
1604995200,2020-11-10 08:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
1604991600,2020-11-10 07:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
1604988000,2020-11-10 06:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
1604984400,2020-11-10 05:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
1604980800,2020-11-10 04:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
1604977200,2020-11-10 03:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
1604973600,2020-11-10 02:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
1604970000,2020-11-10 01:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
1604966400,2020-11-10 00:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
1604962800,2020-11-09 23:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
1604959200,2020-11-09 22:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
1604955600,2020-11-09 21:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
1604952000,2020-11-09 20:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
1604948400,2020-11-09 19:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
1604944800,2020-11-09 18:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
1604941200,2020-11-09 17:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
1604937600,2020-11-09 16:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
1604934000,2020-11-09 15:00:00,XVG/EUR,0.00203,0.00203,0.00203,0.00203,0,0
