https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume BTC
1663545600,2022-09-19 00:00:00,ADA/BTC,0.00002410,0.00002410,0.00002410,0.00002410,0.00000000,0.0
1663542000,2022-09-18 23:00:00,ADA/BTC,0.00002410,0.00002410,0.00002410,0.00002410,0.00000000,0.0
1663538400,2022-09-18 22:00:00,ADA/BTC,0.00002410,0.00002410,0.00002410,0.00002410,0.00000000,0.0
1663534800,2022-09-18 21:00:00,ADA/BTC,0.00002410,0.00002410,0.00002410,0.00002410,0.00000000,0.0
1663531200,2022-09-18 20:00:00,ADA/BTC,0.00002410,0.00002410,0.00002410,0.00002410,0.00000000,0.0
1663527600,2022-09-18 19:00:00,ADA/BTC,0.00002410,0.00002410,0.00002410,0.00002410,0.00000000,0.0
1663524000,2022-09-18 18:00:00,ADA/BTC,0.00002410,0.00002410,0.00002410,0.00002410,0.00000000,0.0
1663520400,2022-09-18 17:00:00,ADA/BTC,0.00002410,0.00002410,0.00002410,0.00002410,0.00000000,0.0
1663516800,2022-09-18 16:00:00,ADA/BTC,0.00002410,0.00002410,0.00002410,0.00002410,0.00000000,0.0
1663513200,2022-09-18 15:00:00,ADA/BTC,0.00002410,0.00002410,0.00002410,0.00002410,0.00000000,0.0
1663509600,2022-09-18 14:00:00,ADA/BTC,0.00002410,0.00002410,0.00002410,0.00002410,0.00000000,0.0
1663506000,2022-09-18 13:00:00,ADA/BTC,0.00002410,0.00002410,0.00002410,0.00002410,0.00000000,0.0
1663502400,2022-09-18 12:00:00,ADA/BTC,0.00002410,0.00002410,0.00002410,0.00002410,0.00000000,0.0
1663498800,2022-09-18 11:00:00,ADA/BTC,0.00002410,0.00002410,0.00002410,0.00002410,0.00000000,0.0
1663495200,2022-09-18 10:00:00,ADA/BTC,0.00002410,0.00002410,0.00002410,0.00002410,0.00000000,0.0
1663491600,2022-09-18 09:00:00,ADA/BTC,0.00002410,0.00002410,0.00002410,0.00002410,0.00000000,0.0
1663488000,2022-09-18 08:00:00,ADA/BTC,0.00002410,0.00002410,0.00002410,0.00002410,0.00000000,0.0
1663484400,2022-09-18 07:00:00,ADA/BTC,0.00002410,0.00002410,0.00002410,0.00002410,0.00000000,0.0
1663480800,2022-09-18 06:00:00,ADA/BTC,0.00002410,0.00002410,0.00002410,0.00002410,246.71448196,0.005945819015236
