https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AMP,Volume EUR
1656892800,2022-07-04 00:00:00,AMP/EUR,0.00949,0.00949,0.00949,0.00949,0.00000000,0.0
1656806400,2022-07-03 00:00:00,AMP/EUR,0.00874,0.00970,0.00874,0.00949,173205.19662634,1643.7173159839667
1656720000,2022-07-02 00:00:00,AMP/EUR,0.00916,0.00916,0.00877,0.00877,551805.57714810,4839.334911588837
1656633600,2022-07-01 00:00:00,AMP/EUR,0.01011,0.01045,0.00916,0.00916,314335.43193579,2879.3125565318364
1656547200,2022-06-30 00:00:00,AMP/EUR,0.00821,0.01130,0.00795,0.01010,4394401.75430252,44383.45771845545
1656460800,2022-06-29 00:00:00,AMP/EUR,0.00929,0.00929,0.00819,0.00819,164700.68683243,1348.8986251576014
1656374400,2022-06-28 00:00:00,AMP/EUR,0.00845,0.00929,0.00819,0.00929,451316.35157504,4192.728906132122
1656288000,2022-06-27 00:00:00,AMP/EUR,0.00955,0.00955,0.00939,0.00939,185545.00000000,1742.2675500000003
1656201600,2022-06-26 00:00:00,AMP/EUR,0.00959,0.00959,0.00959,0.00959,0.00000000,0.0
1656115200,2022-06-25 00:00:00,AMP/EUR,0.00969,0.00969,0.00882,0.00959,375454.79742844,3600.6115073387396
1656028800,2022-06-24 00:00:00,AMP/EUR,0.00970,0.00970,0.00970,0.00970,2988.06268956,28.984208088732
1655942400,2022-06-23 00:00:00,AMP/EUR,0.00989,0.00999,0.00865,0.00999,126581.61364408,1264.5503203043593
1655856000,2022-06-22 00:00:00,AMP/EUR,0.00850,0.00899,0.00850,0.00855,79578.09506664,680.392712819772
1655769600,2022-06-21 00:00:00,AMP/EUR,0.00949,0.00950,0.00873,0.00899,219558.29401462,1973.8290631914338
1655683200,2022-06-20 00:00:00,AMP/EUR,0.00798,0.00798,0.00798,0.00798,0.00000000,0.0
1655596800,2022-06-19 00:00:00,AMP/EUR,0.00798,0.00798,0.00798,0.00798,0.00000000,0.0
1655510400,2022-06-18 00:00:00,AMP/EUR,0.00843,0.00849,0.00717,0.00798,577206.32407105,4606.106466086979
1655424000,2022-06-17 00:00:00,AMP/EUR,0.00879,0.00899,0.00847,0.00899,154461.04124699,1388.60476081044
1655337600,2022-06-16 00:00:00,AMP/EUR,0.00919,0.00919,0.00859,0.00859,45783.91275987,393.2838106072833
1655251200,2022-06-15 00:00:00,AMP/EUR,0.00932,0.00932,0.00817,0.00924,547801.82773875,5061.68888830605
1655164800,2022-06-14 00:00:00,AMP/EUR,0.00849,0.00989,0.00799,0.00919,391049.12665769,3593.741473984171
1655078400,2022-06-13 00:00:00,AMP/EUR,0.00940,0.01005,0.00777,0.00916,337252.86890076,3089.2362791309615
1654992000,2022-06-12 00:00:00,AMP/EUR,0.00992,0.00992,0.00951,0.00953,69349.35784414,660.8993802546543
1654905600,2022-06-11 00:00:00,AMP/EUR,0.01038,0.01099,0.00999,0.01010,203427.94092417,2054.622203334117
1654819200,2022-06-10 00:00:00,AMP/EUR,0.01061,0.01080,0.01042,0.01055,197199.59066198,2080.4556814838893
1654732800,2022-06-09 00:00:00,AMP/EUR,0.01034,0.01081,0.01034,0.01081,12765.24630174,137.9923125218094
1654646400,2022-06-08 00:00:00,AMP/EUR,0.01052,0.01098,0.01047,0.01047,150978.51655144,1580.7450682935769
1654560000,2022-06-07 00:00:00,AMP/EUR,0.01085,0.01100,0.01056,0.01100,425481.04109924,4680.29145209164
1654473600,2022-06-06 00:00:00,AMP/EUR,0.01149,0.01149,0.01148,0.01148,59113.87543518,678.6272899958665
1654387200,2022-06-05 00:00:00,AMP/EUR,0.01071,0.01141,0.01065,0.01065,159080.26124358,1694.2047822441268
1654300800,2022-06-04 00:00:00,AMP/EUR,0.01183,0.01183,0.01183,0.01183,825.00000000,9.75975
1654214400,2022-06-03 00:00:00,AMP/EUR,0.01187,0.01189,0.01068,0.01068,414636.97911036,4428.322936898645
1654128000,2022-06-02 00:00:00,AMP/EUR,0.01132,0.01132,0.01132,0.01132,883.39222615,10.000000000018002
1654041600,2022-06-01 00:00:00,AMP/EUR,0.01166,0.01247,0.01132,0.01132,241793.92058123,2737.1071809795235
1653955200,2022-05-31 00:00:00,AMP/EUR,0.01161,0.01259,0.01135,0.01187,175948.76526402,2088.5118436839175
1653868800,2022-05-30 00:00:00,AMP/EUR,0.01196,0.01199,0.01111,0.01160,139598.92483986,1619.347528142376
1653782400,2022-05-29 00:00:00,AMP/EUR,0.01181,0.01197,0.01107,0.01107,17508.80560000,193.822477992
1653696000,2022-05-28 00:00:00,AMP/EUR,0.01132,0.01186,0.01076,0.01186,156974.10921782,1861.7129353233452
1653609600,2022-05-27 00:00:00,AMP/EUR,0.01188,0.01188,0.01010,0.01069,183914.33318778,1966.0442217773682
1653523200,2022-05-26 00:00:00,AMP/EUR,0.01164,0.01186,0.01136,0.01180,81390.11348548,960.403339128664
1653436800,2022-05-25 00:00:00,AMP/EUR,0.01245,0.01245,0.01209,0.01209,66841.96060193,808.1193036773336
1653350400,2022-05-24 00:00:00,AMP/EUR,0.01221,0.01311,0.01192,0.01207,253210.30861111,3056.2484249360978
1653264000,2022-05-23 00:00:00,AMP/EUR,0.01260,0.01276,0.01196,0.01196,45456.99886674,543.6657064462105
1653177600,2022-05-22 00:00:00,AMP/EUR,0.01249,0.01249,0.01249,0.01249,50000.00000000,624.5
1653091200,2022-05-21 00:00:00,AMP/EUR,0.01249,0.01249,0.01245,0.01245,8792.60838390,109.467974379555
1653004800,2022-05-20 00:00:00,AMP/EUR,0.01309,0.01390,0.01249,0.01249,114786.24525753,1433.6802032665496
1652918400,2022-05-19 00:00:00,AMP/EUR,0.01322,0.01488,0.01250,0.01309,315300.79154243,4127.287361290409
1652832000,2022-05-18 00:00:00,AMP/EUR,0.01574,0.01574,0.01250,0.01250,769326.59793797,9616.582474224624
1652745600,2022-05-17 00:00:00,AMP/EUR,0.01350,0.01589,0.01340,0.01574,209141.85701472,3291.892829411693
1652659200,2022-05-16 00:00:00,AMP/EUR,0.01502,0.01502,0.01305,0.01349,716249.67535107,9662.208120485935
1652572800,2022-05-15 00:00:00,AMP/EUR,0.01362,0.01599,0.01267,0.01501,378166.95728459,5676.286028841696
1652486400,2022-05-14 00:00:00,AMP/EUR,0.01388,0.01406,0.01250,0.01330,82633.18584336,1099.021371716688
1652400000,2022-05-13 00:00:00,AMP/EUR,0.01198,0.01599,0.01000,0.01255,880210.45279682,11046.641182600091
1652313600,2022-05-12 00:00:00,AMP/EUR,0.01000,0.01249,0.00980,0.01184,202578.27123571,2398.5267314308066
1652227200,2022-05-11 00:00:00,AMP/EUR,0.01299,0.01299,0.01000,0.01000,192927.23088864,1929.2723088864002
1652140800,2022-05-10 00:00:00,AMP/EUR,0.01448,0.01599,0.01168,0.01200,604169.49124566,7250.03389494792
1652054400,2022-05-09 00:00:00,AMP/EUR,0.01654,0.01719,0.01150,0.01290,575134.33890007,7419.232971810904
1651968000,2022-05-08 00:00:00,AMP/EUR,0.01748,0.01748,0.01670,0.01679,46482.70440208,780.4446069109232
1651881600,2022-05-07 00:00:00,AMP/EUR,0.01749,0.01749,0.01692,0.01729,351473.10999040,6076.970071734016
1651795200,2022-05-06 00:00:00,AMP/EUR,0.01733,0.01999,0.01670,0.01710,477219.93330577,8160.460859528667
1651708800,2022-05-05 00:00:00,AMP/EUR,0.01892,0.02380,0.01690,0.01690,1118326.34267786,18899.715191255833
1651622400,2022-05-04 00:00:00,AMP/EUR,0.01732,0.01839,0.01732,0.01800,60689.66463792,1092.41396348256
1651536000,2022-05-03 00:00:00,AMP/EUR,0.01725,0.01789,0.01725,0.01736,93844.58528870,1629.142000611832
1651449600,2022-05-02 00:00:00,AMP/EUR,0.01830,0.01830,0.01778,0.01778,48455.33098116,861.5357848450248
1651363200,2022-05-01 00:00:00,AMP/EUR,0.01813,0.01813,0.01800,0.01800,399677.69866347,7194.198575942459
1651276800,2022-04-30 00:00:00,AMP/EUR,0.01869,0.01869,0.01869,0.01869,1100.00000000,20.558999999999997
1651190400,2022-04-29 00:00:00,AMP/EUR,0.01995,0.01995,0.01909,0.01909,23149.94266403,441.9324054563327
1651104000,2022-04-28 00:00:00,AMP/EUR,0.02085,0.02085,0.01991,0.01995,40967.48880704,817.3014017004479
1651017600,2022-04-27 00:00:00,AMP/EUR,0.02011,0.02100,0.01989,0.02085,30445.87990122,634.796595940437
1650931200,2022-04-26 00:00:00,AMP/EUR,0.02034,0.02122,0.01954,0.02011,137369.56625410,2762.501977369951
1650844800,2022-04-25 00:00:00,AMP/EUR,0.02000,0.02150,0.02000,0.02031,108120.90037159,2195.935486546993
1650758400,2022-04-24 00:00:00,AMP/EUR,0.02039,0.02039,0.02001,0.02001,21878.22905020,437.783363294502
1650672000,2022-04-23 00:00:00,AMP/EUR,0.02100,0.02100,0.02058,0.02058,5049.69853615,103.922795873967
1650585600,2022-04-22 00:00:00,AMP/EUR,0.02123,0.02171,0.02105,0.02171,21934.91596031,476.20702549833015
1650499200,2022-04-21 00:00:00,AMP/EUR,0.02078,0.02266,0.02018,0.02266,196113.69471936,4443.936322340698
1650412800,2022-04-20 00:00:00,AMP/EUR,0.02058,0.02166,0.02058,0.02152,201885.21074410,4344.569735213033
1650326400,2022-04-19 00:00:00,AMP/EUR,0.02035,0.02073,0.02035,0.02073,14190.09945363,294.1607616737499
1650240000,2022-04-18 00:00:00,AMP/EUR,0.02050,0.02050,0.01927,0.01957,41869.81847154,819.3923474880378
1650153600,2022-04-17 00:00:00,AMP/EUR,0.02139,0.02139,0.02060,0.02060,19178.79227053,395.083120772918
1650067200,2022-04-16 00:00:00,AMP/EUR,0.02097,0.02097,0.02088,0.02088,20045.68533505,418.55390979584394
1649980800,2022-04-15 00:00:00,AMP/EUR,0.02090,0.02090,0.02090,0.02090,22191.62870813,463.80503999991697
1649894400,2022-04-14 00:00:00,AMP/EUR,0.02185,0.02207,0.02090,0.02090,121714.53310125,2543.8337418161245
1649808000,2022-04-13 00:00:00,AMP/EUR,0.02156,0.02194,0.02138,0.02139,41706.36824343,892.0992167269676
1649721600,2022-04-12 00:00:00,AMP/EUR,0.02123,0.02478,0.02123,0.02165,85147.02094850,1843.433003535025
1649635200,2022-04-11 00:00:00,AMP/EUR,0.02260,0.02260,0.02090,0.02176,252545.53509668,5495.390843703757
1649548800,2022-04-10 00:00:00,AMP/EUR,0.02287,0.02287,0.02257,0.02268,186339.75216181,4226.1855790298505
1649462400,2022-04-09 00:00:00,AMP/EUR,0.02305,0.02306,0.02283,0.02285,35199.05008635,804.2982944730974
1649376000,2022-04-08 00:00:00,AMP/EUR,0.02360,0.02360,0.02250,0.02250,94581.23246709,2128.077730509525
1649289600,2022-04-07 00:00:00,AMP/EUR,0.02300,0.02350,0.02300,0.02350,48363.17777899,1136.534677806265
1649203200,2022-04-06 00:00:00,AMP/EUR,0.02512,0.02512,0.02310,0.02310,355467.59754339,8211.301503252309
1649116800,2022-04-05 00:00:00,AMP/EUR,0.02600,0.02630,0.02559,0.02559,197952.23705612,5065.597746266111
1649030400,2022-04-04 00:00:00,AMP/EUR,0.02500,0.02789,0.02471,0.02559,611169.41863948,15639.825422984295
1648944000,2022-04-03 00:00:00,AMP/EUR,0.02530,0.02592,0.02500,0.02505,635832.48656271,15927.603788395885
1648857600,2022-04-02 00:00:00,AMP/EUR,0.02550,0.02644,0.02469,0.02475,179437.03222502,4441.066547569245
1648771200,2022-04-01 00:00:00,AMP/EUR,0.02430,0.02548,0.02400,0.02479,131051.30466939,3248.761842754178
1648684800,2022-03-31 00:00:00,AMP/EUR,0.02498,0.02656,0.02400,0.02465,219963.84367256,5422.108746528604
1648598400,2022-03-30 00:00:00,AMP/EUR,0.02439,0.02600,0.02439,0.02497,6105665.05685199,152458.45646959418
1648512000,2022-03-29 00:00:00,AMP/EUR,0.02548,0.02609,0.02420,0.02439,312647.44875950,7625.471275244205
1648425600,2022-03-28 00:00:00,AMP/EUR,0.02500,0.02600,0.02490,0.02490,504695.86403470,12566.927014464029
