https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HBAR,Volume USDT
1644883200,2022-02-15 00:00:00,HBAR/USDT,0.24234,0.26501,0.24144,0.25909,25679883.92221297,6574409.4517194680137
1644796800,2022-02-14 00:00:00,HBAR/USDT,0.22674,0.24939,0.22136,0.24211,15279462.50624854,3599660.2060142007407
1644710400,2022-02-13 00:00:00,HBAR/USDT,0.23133,0.23401,0.22184,0.22666,6626426.87417583,1515692.9709655598506
1644624000,2022-02-12 00:00:00,HBAR/USDT,0.23336,0.24048,0.2237,0.23113,8350460.56593861,1935447.7906521033463
1644537600,2022-02-11 00:00:00,HBAR/USDT,0.24564,0.25357,0.23068,0.23349,12254443.24601167,2966672.5701545422479
1644451200,2022-02-10 00:00:00,HBAR/USDT,0.25656,0.26119,0.24061,0.24579,12900856.79580851,3257421.8308872706469
1644364800,2022-02-09 00:00:00,HBAR/USDT,0.25411,0.26003,0.24733,0.2564,8733711.25483963,2224137.5466277597459
1644278400,2022-02-08 00:00:00,HBAR/USDT,0.26113,0.26398,0.23891,0.25413,22319047.565353,5603269.6765408926831
1644192000,2022-02-07 00:00:00,HBAR/USDT,0.25844,0.26936,0.25109,0.26093,18134286.40917536,4746043.8589829388107
1644105600,2022-02-06 00:00:00,HBAR/USDT,0.25776,0.2609,0.24936,0.25849,9381624.84529598,2389891.656311156739
1644019200,2022-02-05 00:00:00,HBAR/USDT,0.24874,0.26284,0.24732,0.25724,14337804.56095073,3672008.5452327147092
1643932800,2022-02-04 00:00:00,HBAR/USDT,0.23786,0.24948,0.23521,0.24859,15776497.87983392,3842752.9519301739311
1643846400,2022-02-03 00:00:00,HBAR/USDT,0.22013,0.24899,0.21384,0.23764,25248611.41057614,5948368.1123468858917
1643760000,2022-02-02 00:00:00,HBAR/USDT,0.22935,0.23416,0.21857,0.2202,8860982.5764484,2002188.4619601298426
1643673600,2022-02-01 00:00:00,HBAR/USDT,0.22171,0.23419,0.22103,0.22895,8794867.23314611,2003401.2878280139997
1643587200,2022-01-31 00:00:00,HBAR/USDT,0.21867,0.22738,0.20141,0.22171,21289760.66175137,4568558.2821478674376
1643500800,2022-01-30 00:00:00,HBAR/USDT,0.22232,0.22812,0.21358,0.2188,9007661.54648593,1992294.8196616254014
1643414400,2022-01-29 00:00:00,HBAR/USDT,0.21605,0.22638,0.21468,0.2223,9670260.06328331,2138070.1194387513612
1643328000,2022-01-28 00:00:00,HBAR/USDT,0.20819,0.218,0.20428,0.21606,9737588.29244,2046419.0064123746341
1643241600,2022-01-27 00:00:00,HBAR/USDT,0.21168,0.21666,0.19999,0.20829,12772114.63354301,2632242.7396367275787
1643155200,2022-01-26 00:00:00,HBAR/USDT,0.21155,0.22457,0.20423,0.21138,16330646.31006021,3506624.8749555377909
1643068800,2022-01-25 00:00:00,HBAR/USDT,0.20653,0.22066,0.19702,0.21098,11614769.5703086,2413442.7684038825069
1642982400,2022-01-24 00:00:00,HBAR/USDT,0.2224,0.2224,0.18377,0.20585,19145173.29343449,3829187.5702746845172
1642896000,2022-01-23 00:00:00,HBAR/USDT,0.2215,0.23339,0.21135,0.22231,12487318.40754912,2771013.5729286453641
1642809600,2022-01-22 00:00:00,HBAR/USDT,0.23455,0.23919,0.2,0.22217,31029933.38055198,6817409.8217918298414
1642723200,2022-01-21 00:00:00,HBAR/USDT,0.25941,0.26793,0.22753,0.23426,28868915.32038597,7096485.1611747621061
1642636800,2022-01-20 00:00:00,HBAR/USDT,0.26752,0.28186,0.25837,0.26028,12283468.83179002,3348421.2468035654132
1642550400,2022-01-19 00:00:00,HBAR/USDT,0.26548,0.27897,0.25235,0.26727,10397085.31371775,2753753.294980600243
1642464000,2022-01-18 00:00:00,HBAR/USDT,0.26986,0.27214,0.25375,0.26567,9974102.38668656,2616571.529303440805
1642377600,2022-01-17 00:00:00,HBAR/USDT,0.27892,0.2835,0.26515,0.26935,10537182.62678289,2872027.9086003520121
1642291200,2022-01-16 00:00:00,HBAR/USDT,0.27944,0.2824,0.2738,0.27914,6685560.24451686,1860361.8941595861786
1642204800,2022-01-15 00:00:00,HBAR/USDT,0.28096,0.28446,0.2776,0.27975,5306266.44427722,1493434.8605763918722
1642118400,2022-01-14 00:00:00,HBAR/USDT,0.27809,0.28556,0.27337,0.28113,7460480.44162421,2092280.0730742285286
1642032000,2022-01-13 00:00:00,HBAR/USDT,0.29653,0.29688,0.27642,0.27819,14135139.06312046,4015968.2689279758298
1641945600,2022-01-12 00:00:00,HBAR/USDT,0.27527,0.29902,0.27192,0.29672,15813561.52942245,4566647.1014012018641
1641859200,2022-01-11 00:00:00,HBAR/USDT,0.25898,0.27589,0.25653,0.27543,12340669.49862024,3297275.0550796475142
1641772800,2022-01-10 00:00:00,HBAR/USDT,0.27128,0.27654,0.2401,0.25914,18164457.86463148,4765791.0620572411175
1641686400,2022-01-09 00:00:00,HBAR/USDT,0.26446,0.27801,0.26207,0.2717,11125597.15178322,3002284.4848393291109
1641600000,2022-01-08 00:00:00,HBAR/USDT,0.27315,0.27764,0.25143,0.26474,13222709.96738273,3500438.0399210146023
1641513600,2022-01-07 00:00:00,HBAR/USDT,0.29435,0.30023,0.2666,0.27313,18499984.0074686,5205918.297038364307
1641427200,2022-01-06 00:00:00,HBAR/USDT,0.28673,0.2989,0.2713,0.29456,17016401.43695146,4860816.9103218636285
1641340800,2022-01-05 00:00:00,HBAR/USDT,0.325,0.34435,0.26699,0.28715,30781985.78499162,9618551.5687158701801
1641254400,2022-01-04 00:00:00,HBAR/USDT,0.30718,0.33734,0.30261,0.32484,26961031.03147041,8818814.5782820713759
1641168000,2022-01-03 00:00:00,HBAR/USDT,0.31181,0.31988,0.29767,0.30718,8899219.2214977,2740302.8752985929199
1641081600,2022-01-02 00:00:00,HBAR/USDT,0.30074,0.31942,0.29692,0.31195,10890295.39522529,3370076.016008821146
1640995200,2022-01-01 00:00:00,HBAR/USDT,0.29063,0.30225,0.28919,0.30074,5946786.65602695,1763840.7305014305914
1640908800,2021-12-31 00:00:00,HBAR/USDT,0.29728,0.30896,0.28339,0.28998,9879777.21576905,2923965.7158527752531
1640822400,2021-12-30 00:00:00,HBAR/USDT,0.28264,0.30856,0.27784,0.2973,13277728.89532193,3909186.9016774182174
1640736000,2021-12-29 00:00:00,HBAR/USDT,0.29055,0.29784,0.27519,0.2825,9576951.19323775,2749083.2048116647925
1640649600,2021-12-28 00:00:00,HBAR/USDT,0.31279,0.31343,0.27788,0.29017,20729157.91100858,6114197.2445083977279
