https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KAVA,Volume USDT
1644192000,2022-02-07 00:00:00,KAVA/USDT,3.7658,4.0547,3.6808,3.9034,71898.65922029,278416.244768917814
1644105600,2022-02-06 00:00:00,KAVA/USDT,3.775,3.8442,3.6274,3.7737,39754.29029836,148611.855163388972
1644019200,2022-02-05 00:00:00,KAVA/USDT,3.6187,3.8204,3.556,3.7764,67216.06291769,247511.211032834644
1643932800,2022-02-04 00:00:00,KAVA/USDT,3.3333,3.6527,3.2843,3.6172,66734.41175584,235565.459100395294
1643846400,2022-02-03 00:00:00,KAVA/USDT,3.1665,3.3326,3.1095,3.3204,25149.95674456,81158.056444445655
1643760000,2022-02-02 00:00:00,KAVA/USDT,3.297,3.406,3.1303,3.1641,34509.85233506,112220.269653739472
1643673600,2022-02-01 00:00:00,KAVA/USDT,3.2656,3.3884,3.232,3.3009,54467.42943926,179852.514676713663
1643587200,2022-01-31 00:00:00,KAVA/USDT,3.2278,3.2908,3.0399,3.2676,53603.78217419,169289.641004066612
1643500800,2022-01-30 00:00:00,KAVA/USDT,3.2503,3.363,3.1502,3.2468,52292.23926261,170005.66875545956
1643414400,2022-01-29 00:00:00,KAVA/USDT,3.2101,3.3853,3.1773,3.2505,64144.65872847,208780.295792656458
1643328000,2022-01-28 00:00:00,KAVA/USDT,3.1693,3.2915,3.0699,3.2101,50260.05061036,159076.383714309149
1643241600,2022-01-27 00:00:00,KAVA/USDT,3.3515,3.39,3.0222,3.1651,156456.11134667,508811.810912404674
1643155200,2022-01-26 00:00:00,KAVA/USDT,3.1834,3.475,3.1361,3.3565,123628.80960749,412753.329008917021
1643068800,2022-01-25 00:00:00,KAVA/USDT,3.2136,3.34,3.1205,3.1967,56600.6062506,183919.059449638674
1642982400,2022-01-24 00:00:00,KAVA/USDT,3.3703,3.3703,2.8058,3.2303,150662.32781053,458609.17515922112
1642896000,2022-01-23 00:00:00,KAVA/USDT,3.2804,3.4671,3.1634,3.3884,65074.04389421,215717.43955252641
1642809600,2022-01-22 00:00:00,KAVA/USDT,3.7702,4.0847,3.0102,3.2804,171775.08707487,596369.504473154718
1642723200,2022-01-21 00:00:00,KAVA/USDT,4.078,4.1973,3.6691,3.7792,176206.48368363,706673.66709798828
1642636800,2022-01-20 00:00:00,KAVA/USDT,4.497,4.6756,4.0699,4.1,183837.28519426,802138.859423822447
1642550400,2022-01-19 00:00:00,KAVA/USDT,5.0177,5.0821,4.4668,4.4911,133477.25382078,632104.070539866294
1642464000,2022-01-18 00:00:00,KAVA/USDT,5.3331,5.97,4.9242,5.0286,276015.1773269,1502817.750006649224
1642377600,2022-01-17 00:00:00,KAVA/USDT,5.6314,6,5.2001,5.3316,184442.8076451,1019528.96533081007
1642291200,2022-01-16 00:00:00,KAVA/USDT,5.262,5.7099,5.2365,5.6316,97325.52705053,529604.861390795198
1642204800,2022-01-15 00:00:00,KAVA/USDT,5.4639,5.5975,5.26,5.262,96378.38387792,523512.430495730843
1642118400,2022-01-14 00:00:00,KAVA/USDT,4.6694,5.59,4.633,5.4715,219583.60004778,1152774.221522461577
1642032000,2022-01-13 00:00:00,KAVA/USDT,4.9895,5.0426,4.6554,4.6662,114692.41587236,554617.383051509255
1641945600,2022-01-12 00:00:00,KAVA/USDT,4.8613,5.3111,4.8453,4.9901,155433.26835366,792146.048438365329
1641859200,2022-01-11 00:00:00,KAVA/USDT,4.2523,4.9273,4.2174,4.8609,125345.23448357,581124.790087922012
1641772800,2022-01-10 00:00:00,KAVA/USDT,4.5793,4.6167,4.025,4.2623,56103.94252131,239867.073685589722
1641686400,2022-01-09 00:00:00,KAVA/USDT,4.6982,4.9319,4.42,4.5896,94791.38689421,444961.098807247728
1641600000,2022-01-08 00:00:00,KAVA/USDT,4.479,5.1759,4.0904,4.6982,226901.88877869,1030069.524186955333
1641513600,2022-01-07 00:00:00,KAVA/USDT,4.21,4.5232,3.65,4.4623,169739.29084882,703485.416907049996
1641427200,2022-01-06 00:00:00,KAVA/USDT,4.3747,4.4394,4.0146,4.2181,65142.85460128,273028.80831112943
1641340800,2022-01-05 00:00:00,KAVA/USDT,5.0286,5.1265,4.15,4.3745,186912.34665663,867279.781881681408
1641254400,2022-01-04 00:00:00,KAVA/USDT,4.5212,5.18,4.256,5.0286,148624.37126338,715788.248931118886
1641168000,2022-01-03 00:00:00,KAVA/USDT,4.291,4.5388,3.9688,4.5388,88340.47468603,384344.694867832322
1641081600,2022-01-02 00:00:00,KAVA/USDT,4.502,4.5249,4.2503,4.2917,27832.33264578,121174.786778950367
1640995200,2022-01-01 00:00:00,KAVA/USDT,3.9513,5.19,3.71,4.4886,161717.79327628,719552.152616445811
1640908800,2021-12-31 00:00:00,KAVA/USDT,3.8038,4.0807,3.7161,3.9399,30158.08308706,117645.07111482478
1640822400,2021-12-30 00:00:00,KAVA/USDT,3.5296,4.3,3.4968,3.8032,78252.68029015,299446.462999882519
1640736000,2021-12-29 00:00:00,KAVA/USDT,3.7133,3.87,3.5233,3.5494,20402.37034826,74639.111754812656
1640649600,2021-12-28 00:00:00,KAVA/USDT,4.1203,4.1326,3.7,3.7155,28597.61798193,110708.044037091059
