https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KNCBEAR,Volume USDT
1663545600000.0,2022-09-19 00:00:00,KNCBEAR/USDT,6e-08,6e-08,6e-08,6e-08,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,KNCBEAR/USDT,3e-08,6e-08,3e-08,6e-08,49833333.33333334,2.99
1663372800000.0,2022-09-17 00:00:00,KNCBEAR/USDT,3e-08,3e-08,3e-08,3e-08,0.0,0.0
1663286400000.0,2022-09-16 00:00:00,KNCBEAR/USDT,3e-08,3e-08,3e-08,3e-08,0.0,0.0
1663200000000.0,2022-09-15 00:00:00,KNCBEAR/USDT,3e-08,3e-08,3e-08,3e-08,194000000.00000003,5.82
1663113600000.0,2022-09-14 00:00:00,KNCBEAR/USDT,3e-08,3e-08,3e-08,3e-08,0.0,0.0
1663027200000.0,2022-09-13 00:00:00,KNCBEAR/USDT,3e-08,3e-08,3e-08,3e-08,0.0,0.0
1662940800000.0,2022-09-12 00:00:00,KNCBEAR/USDT,3e-08,3e-08,3e-08,3e-08,0.0,0.0
1662854400000.0,2022-09-11 00:00:00,KNCBEAR/USDT,3e-08,3e-08,3e-08,3e-08,0.0,0.0
1662768000000.0,2022-09-10 00:00:00,KNCBEAR/USDT,5e-08,5e-08,3e-08,3e-08,1036333333.3333334,31.09
1662681600000.0,2022-09-09 00:00:00,KNCBEAR/USDT,5e-08,5e-08,5e-08,5e-08,0.0,0.0
1662595200000.0,2022-09-08 00:00:00,KNCBEAR/USDT,5e-08,5e-08,5e-08,5e-08,0.0,0.0
1662508800000.0,2022-09-07 00:00:00,KNCBEAR/USDT,5e-08,5e-08,5e-08,5e-08,0.0,0.0
1662422400000.0,2022-09-06 00:00:00,KNCBEAR/USDT,5e-08,5e-08,5e-08,5e-08,0.0,0.0
1662336000000.0,2022-09-05 00:00:00,KNCBEAR/USDT,5e-08,5e-08,5e-08,5e-08,0.0,0.0
1662249600000.0,2022-09-04 00:00:00,KNCBEAR/USDT,5e-08,5e-08,5e-08,5e-08,0.0,0.0
1662163200000.0,2022-09-03 00:00:00,KNCBEAR/USDT,5e-08,5e-08,5e-08,5e-08,0.0,0.0
1662076800000.0,2022-09-02 00:00:00,KNCBEAR/USDT,5e-08,5e-08,5e-08,5e-08,0.0,0.0
1661990400000.0,2022-09-01 00:00:00,KNCBEAR/USDT,5e-08,5e-08,5e-08,5e-08,0.0,0.0
1661904000000.0,2022-08-31 00:00:00,KNCBEAR/USDT,5e-08,5e-08,5e-08,5e-08,0.0,0.0
1661817600000.0,2022-08-30 00:00:00,KNCBEAR/USDT,5e-08,5e-08,5e-08,5e-08,0.0,0.0
1661731200000.0,2022-08-29 00:00:00,KNCBEAR/USDT,5e-08,5e-08,5e-08,5e-08,0.0,0.0
1661644800000.0,2022-08-28 00:00:00,KNCBEAR/USDT,5e-08,5e-08,5e-08,5e-08,0.0,0.0
1661558400000.0,2022-08-27 00:00:00,KNCBEAR/USDT,5e-08,5e-08,5e-08,5e-08,0.0,0.0
1661472000000.0,2022-08-26 00:00:00,KNCBEAR/USDT,5e-08,5e-08,5e-08,5e-08,0.0,0.0
1661385600000.0,2022-08-25 00:00:00,KNCBEAR/USDT,5e-08,5e-08,5e-08,5e-08,0.0,0.0
1661299200000.0,2022-08-24 00:00:00,KNCBEAR/USDT,5e-08,5e-08,5e-08,5e-08,0.0,0.0
1661212800000.0,2022-08-23 00:00:00,KNCBEAR/USDT,5e-08,5e-08,5e-08,5e-08,0.0,0.0
1661126400000.0,2022-08-22 00:00:00,KNCBEAR/USDT,6e-08,6e-08,5e-08,5e-08,1615000000.0,80.75
1661040000000.0,2022-08-21 00:00:00,KNCBEAR/USDT,6e-08,6e-08,6e-08,6e-08,0.0,0.0
