https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EOS,Volume BTC,tradecount
1610323200000,2021-01-11 00:00:00,EOS/BTC,0.00008020,0.00008270,0.00007480,0.00007540,16992001.30000000,1329.78159182,88171
1610236800000,2021-01-10 00:00:00,EOS/BTC,0.00009020,0.00009620,0.00007640,0.00008020,27932151.98000000,2368.06066869,114876
1610150400000,2021-01-09 00:00:00,EOS/BTC,0.00007660,0.00009270,0.00007570,0.00009000,13650940.17000000,1169.37627350,55918
1610064000000,2021-01-08 00:00:00,EOS/BTC,0.00008110,0.00008190,0.00007470,0.00007660,6767168.25000000,528.32240323,31917
1609977600000,2021-01-07 00:00:00,EOS/BTC,0.00009170,0.00009330,0.00008080,0.00008110,13169111.38000000,1146.35526870,57080
1609891200000,2021-01-06 00:00:00,EOS/BTC,0.00008510,0.00009910,0.00008170,0.00009170,15294481.89000000,1399.89270692,67388
1609804800000,2021-01-05 00:00:00,EOS/BTC,0.00008810,0.00009210,0.00008390,0.00008510,5374999.72000000,472.09093339,32473
1609718400000,2021-01-04 00:00:00,EOS/BTC,0.00008470,0.00009490,0.00008470,0.00008800,9362339.58000000,840.85003947,49003
1609632000000,2021-01-03 00:00:00,EOS/BTC,0.00008190,0.00008540,0.00007470,0.00008480,8505155.44000000,679.73723298,39867
1609545600000,2021-01-02 00:00:00,EOS/BTC,0.00009000,0.00009030,0.00007920,0.00008180,4239882.75000000,356.28929386,24770
1609459200000,2021-01-01 00:00:00,EOS/BTC,0.00008960,0.00009280,0.00008870,0.00008990,2429672.32000000,219.10626413,14747
1609372800000,2020-12-31 00:00:00,EOS/BTC,0.00009040,0.00009180,0.00008860,0.00008950,2884836.39000000,259.39089766,17071
1609286400000,2020-12-30 00:00:00,EOS/BTC,0.00009640,0.00009670,0.00008970,0.00009040,3154315.31000000,291.58448286,20699
1609200000000,2020-12-29 00:00:00,EOS/BTC,0.00010210,0.00010360,0.00009430,0.00009640,4179512.58000000,412.34912244,25426
1609113600000,2020-12-28 00:00:00,EOS/BTC,0.00010340,0.00010690,0.00009890,0.00010210,3828231.14000000,395.16645400,23978
1609027200000,2020-12-27 00:00:00,EOS/BTC,0.00009860,0.00010530,0.00009110,0.00010340,6936126.05000000,685.45424476,36734
1608940800000,2020-12-26 00:00:00,EOS/BTC,0.00010780,0.00010910,0.00009650,0.00009860,4107391.97000000,424.84584648,22530
1608854400000,2020-12-25 00:00:00,EOS/BTC,0.00011250,0.00011330,0.00010600,0.00010790,5584528.48000000,611.27054927,28164
1608768000000,2020-12-24 00:00:00,EOS/BTC,0.00009970,0.00011430,0.00009760,0.00011240,8053213.12000000,856.82681431,37961
1608681600000,2020-12-23 00:00:00,EOS/BTC,0.00012170,0.00012200,0.00008560,0.00009970,10885820.56000000,1165.66204683,54829
1608595200000,2020-12-22 00:00:00,EOS/BTC,0.00012890,0.00012900,0.00011920,0.00012180,3507139.48000000,438.55723506,20053
1608508800000,2020-12-21 00:00:00,EOS/BTC,0.00013360,0.00013850,0.00012720,0.00012890,4941893.03000000,655.49264572,27223
1608422400000,2020-12-20 00:00:00,EOS/BTC,0.00012820,0.00013970,0.00012810,0.00013360,5466013.80000000,735.69948581,29698
1608336000000,2020-12-19 00:00:00,EOS/BTC,0.00013230,0.00013470,0.00012740,0.00012820,2798468.58000000,367.92552136,16226
1608249600000,2020-12-18 00:00:00,EOS/BTC,0.00013340,0.00013550,0.00013220,0.00013240,1806659.04000000,241.47590893,13398
1608163200000,2020-12-17 00:00:00,EOS/BTC,0.00014540,0.00014700,0.00013020,0.00013330,6248403.11000000,860.17716899,35969
1608076800000,2020-12-16 00:00:00,EOS/BTC,0.00014730,0.00014850,0.00014240,0.00014540,3908209.57000000,567.44117114,19711
1607990400000,2020-12-15 00:00:00,EOS/BTC,0.00014770,0.00014980,0.00014640,0.00014730,1494726.11000000,221.27534424,9829
1607904000000,2020-12-14 00:00:00,EOS/BTC,0.00014870,0.00014900,0.00014640,0.00014760,1304596.49000000,192.76794135,10994
1607817600000,2020-12-13 00:00:00,EOS/BTC,0.00014710,0.00015030,0.00014610,0.00014860,1903546.25000000,281.34096448,10474
1607731200000,2020-12-12 00:00:00,EOS/BTC,0.00014930,0.00015090,0.00014700,0.00014720,1828733.23000000,272.58725454,11021
1607644800000,2020-12-11 00:00:00,EOS/BTC,0.00015020,0.00015200,0.00014910,0.00014950,1657556.09000000,249.21580495,11321
1607558400000,2020-12-10 00:00:00,EOS/BTC,0.00015150,0.00015250,0.00014960,0.00015020,1371872.14000000,207.46942968,9806
1607472000000,2020-12-09 00:00:00,EOS/BTC,0.00015290,0.00015360,0.00015060,0.00015150,1695892.47000000,257.74092994,12117
1607385600000,2020-12-08 00:00:00,EOS/BTC,0.00015390,0.00015410,0.00014960,0.00015290,1935977.94000000,294.48880012,10991
1607299200000,2020-12-07 00:00:00,EOS/BTC,0.00015480,0.00015630,0.00015300,0.00015390,1234626.51000000,190.72044184,8907
1607212800000,2020-12-06 00:00:00,EOS/BTC,0.00015700,0.00015760,0.00015360,0.00015480,963162.44000000,149.24861554,7738
1607126400000,2020-12-05 00:00:00,EOS/BTC,0.00015260,0.00015730,0.00015230,0.00015720,1600804.67000000,246.73874819,9982
1607040000000,2020-12-04 00:00:00,EOS/BTC,0.00015840,0.00016250,0.00014960,0.00015260,2689122.38000000,423.24115760,20405
