https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume BTC,tradecount
1609977600000,2021-01-07 00:00:00,LTC/BTC,0.00459600,0.00466000,0.00427600,0.00429500,699016.13000000,3122.35016723,157025
1609891200000,2021-01-06 00:00:00,LTC/BTC,0.00467000,0.00486100,0.00455800,0.00459600,528291.05000000,2469.39461277,118861
1609804800000,2021-01-05 00:00:00,LTC/BTC,0.00485500,0.00499500,0.00455400,0.00466900,505173.92000000,2413.40902264,117642
1609718400000,2021-01-04 00:00:00,LTC/BTC,0.00488300,0.00526100,0.00470000,0.00485500,686459.04000000,3383.33533556,206341
1609632000000,2021-01-03 00:00:00,LTC/BTC,0.00425500,0.00492500,0.00402400,0.00488500,866143.61000000,3837.89359518,195209
1609545600000,2021-01-02 00:00:00,LTC/BTC,0.00430300,0.00436400,0.00400200,0.00425500,514779.41000000,2169.20450465,109988
1609459200000,2021-01-01 00:00:00,LTC/BTC,0.00429500,0.00456900,0.00425800,0.00430300,275214.63000000,1207.90049515,60863
1609372800000,2020-12-31 00:00:00,LTC/BTC,0.00450600,0.00450700,0.00425300,0.00429400,184585.40000000,804.89823214,45332
1609286400000,2020-12-30 00:00:00,LTC/BTC,0.00470300,0.00481200,0.00440900,0.00450300,308594.39000000,1403.03899098,68509
1609200000000,2020-12-29 00:00:00,LTC/BTC,0.00479600,0.00485000,0.00454400,0.00470300,249370.63000000,1180.19796105,72358
1609113600000,2020-12-28 00:00:00,LTC/BTC,0.00486500,0.00512500,0.00473100,0.00479500,530780.55000000,2592.66523837,96514
1609027200000,2020-12-27 00:00:00,LTC/BTC,0.00489400,0.00508400,0.00451800,0.00486400,1020549.39000000,4969.86150001,168122
1608940800000,2020-12-26 00:00:00,LTC/BTC,0.00517000,0.00535800,0.00487200,0.00489400,940275.54000000,4843.51743775,142851
1608854400000,2020-12-25 00:00:00,LTC/BTC,0.00468500,0.00520000,0.00460800,0.00517000,762746.19000000,3750.36687116,118613
1608768000000,2020-12-24 00:00:00,LTC/BTC,0.00440800,0.00472400,0.00431800,0.00468500,569605.27000000,2573.77593134,96810
1608681600000,2020-12-23 00:00:00,LTC/BTC,0.00480100,0.00489400,0.00419500,0.00441000,994655.89000000,4564.29645884,171356
1608595200000,2020-12-22 00:00:00,LTC/BTC,0.00459800,0.00482900,0.00439100,0.00480200,726483.40000000,3356.49218718,106661
1608508800000,2020-12-21 00:00:00,LTC/BTC,0.00488500,0.00494600,0.00450900,0.00459600,668791.89000000,3142.15663837,108524
1608422400000,2020-12-20 00:00:00,LTC/BTC,0.00503200,0.00522700,0.00473800,0.00488400,579990.11000000,2884.25971632,114713
1608336000000,2020-12-19 00:00:00,LTC/BTC,0.00473100,0.00517500,0.00460000,0.00503100,700499.40000000,3439.31542771,114915
1608249600000,2020-12-18 00:00:00,LTC/BTC,0.00443000,0.00489000,0.00439000,0.00473200,758743.62000000,3568.30996533,131246
1608163200000,2020-12-17 00:00:00,LTC/BTC,0.00435700,0.00467000,0.00399700,0.00443000,1062713.79000000,4652.47198077,160169
1608076800000,2020-12-16 00:00:00,LTC/BTC,0.00418700,0.00437700,0.00405700,0.00435800,605521.66000000,2570.80011899,80721
1607990400000,2020-12-15 00:00:00,LTC/BTC,0.00427500,0.00434900,0.00418100,0.00418700,290903.66000000,1236.09842921,45161
1607904000000,2020-12-14 00:00:00,LTC/BTC,0.00428900,0.00429700,0.00415000,0.00427300,238312.08000000,1009.78619588,42381
1607817600000,2020-12-13 00:00:00,LTC/BTC,0.00407600,0.00435200,0.00402400,0.00428900,248759.85000000,1043.66104485,43358
1607731200000,2020-12-12 00:00:00,LTC/BTC,0.00400100,0.00412700,0.00399500,0.00407700,192121.82000000,784.82105786,32249
1607644800000,2020-12-11 00:00:00,LTC/BTC,0.00409400,0.00410500,0.00394800,0.00400500,269717.71000000,1079.53653046,45163
1607558400000,2020-12-10 00:00:00,LTC/BTC,0.00417400,0.00418600,0.00406000,0.00409300,146689.47000000,604.02248687,28209
1607472000000,2020-12-09 00:00:00,LTC/BTC,0.00418700,0.00422100,0.00408100,0.00417500,230520.95000000,961.18128758,41160
1607385600000,2020-12-08 00:00:00,LTC/BTC,0.00435000,0.00441600,0.00410700,0.00418900,242275.92000000,1029.18837210,47626
1607299200000,2020-12-07 00:00:00,LTC/BTC,0.00431500,0.00451700,0.00428100,0.00435000,230739.41000000,1008.82234438,39027
1607212800000,2020-12-06 00:00:00,LTC/BTC,0.00434100,0.00441700,0.00425200,0.00431800,192703.04000000,834.46684218,33464
1607126400000,2020-12-05 00:00:00,LTC/BTC,0.00426300,0.00440000,0.00423600,0.00434300,271213.88000000,1174.12511387,44215
1607040000000,2020-12-04 00:00:00,LTC/BTC,0.00458300,0.00460000,0.00418700,0.00426400,343895.18000000,1531.03514031,61192
