Date,Open,High,Low,Close,Adj Close,Volume
2021-08-26,0.415230,0.558327,0.415030,0.519877,0.519877,228940
2021-08-27,0.519893,0.687477,0.498175,0.686748,0.686748,573566
2021-08-28,0.686766,0.691065,0.606474,0.640526,0.640526,250158
2021-08-29,0.640724,0.648018,0.527709,0.548201,0.548201,188295
2021-08-30,0.548234,0.915924,0.547050,0.868268,0.868268,763243
2021-08-31,0.869410,1.132030,0.795093,1.034563,1.034563,1802341
2021-09-01,1.033992,1.072349,0.784995,0.874777,0.874777,1888126
2021-09-02,0.874508,0.975853,0.805374,0.887070,0.887070,295419
2021-09-03,0.886847,1.006632,0.772323,0.990203,0.990203,382776
2021-09-04,0.989919,1.058872,0.897582,0.941166,0.941166,506056
2021-09-05,0.941177,0.978552,0.916228,0.978000,0.978000,66182
2021-09-06,0.978100,1.069475,0.922232,1.046637,1.046637,259649
2021-09-07,1.046343,1.048291,0.776686,0.834503,0.834503,426217
2021-09-08,0.834405,0.910505,0.771061,0.880985,0.880985,370122
2021-09-09,0.867219,0.903781,0.838167,0.844588,0.844588,108568
2021-09-10,0.844843,1.017426,0.805102,0.886133,0.886133,666116
2021-09-11,0.886265,0.937560,0.861878,0.927122,0.927122,193117
2021-09-12,0.927514,0.933469,0.844328,0.873669,0.873669,189968
2021-09-13,0.873158,0.884268,0.761338,0.853071,0.853071,284697
2021-09-14,0.853015,0.892770,0.815584,0.878517,0.878517,173173
2021-09-15,0.878854,0.887293,0.830926,0.864870,0.864870,310993
2021-09-16,0.864934,0.869255,0.724552,0.803155,0.803155,239051
2021-09-17,0.803245,0.822819,0.652938,0.767766,0.767766,367606
2021-09-18,0.768390,0.785610,0.643208,0.711983,0.711983,196161
2021-09-19,0.712320,0.712847,0.665655,0.686313,0.686313,61909
2021-09-20,0.686154,0.687107,0.390617,0.597261,0.597261,516936
2021-09-21,0.596788,0.628660,0.513425,0.602639,0.602639,278652
2021-09-22,0.604530,0.643117,0.540218,0.610677,0.610677,222735
2021-09-23,0.610573,0.779496,0.588800,0.751395,0.751395,233496
2021-09-24,0.751412,0.757471,0.665472,0.715809,0.715809,127761
2021-09-25,0.715758,0.733198,0.701374,0.712380,0.712380,101804
2021-09-26,0.712376,0.745207,0.683513,0.734825,0.734825,223566
2021-09-27,0.734372,0.803295,0.730830,0.758002,0.758002,238292
2021-09-28,0.757999,0.777075,0.705835,0.711121,0.711121,133104
2021-09-29,0.711928,0.777444,0.709003,0.741437,0.741437,147902
2021-09-30,0.741348,0.769739,0.731987,0.758372,0.758372,108735
2021-10-01,0.758582,0.839431,0.737719,0.834951,0.834951,131340
2021-10-02,0.834626,0.835822,0.798105,0.801635,0.801635,119713
2021-10-03,0.801208,0.805983,0.722623,0.746518,0.746518,114018
2021-10-04,0.746618,0.748945,0.666968,0.737046,0.737046,142008
2021-10-05,0.737083,0.832937,0.674585,0.830469,0.830469,339172
2021-10-06,0.830832,0.843421,0.644955,0.773996,0.773996,234139
