Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.005923,0.006068,0.004786,0.006004,0.006004,80863
2021-08-23,0.006002,0.006230,0.005814,0.006033,0.006033,103792
2021-08-24,0.006035,0.006059,0.004596,0.005196,0.005196,76425
2021-08-25,0.005190,0.005370,0.003901,0.004686,0.004686,66878
2021-08-26,0.004686,0.004714,0.004303,0.004431,0.004431,64879
2021-08-27,0.004431,0.004637,0.004047,0.004148,0.004148,66186
2021-08-28,0.004152,0.004597,0.003977,0.004030,0.004030,58685
2021-08-29,0.004029,0.004105,0.003930,0.004057,0.004057,36070
2021-08-30,0.004058,0.004066,0.003895,0.003896,0.003896,5227
2021-08-31,0.003901,0.003931,0.003692,0.003885,0.003885,48116
2021-09-01,0.003863,0.004036,0.003769,0.004036,0.004036,59351
2021-09-02,0.004035,0.004163,0.003994,0.004090,0.004090,21923
2021-09-03,0.004089,0.004427,0.003579,0.003742,0.003742,7335
2021-09-04,0.003741,0.004415,0.003704,0.003732,0.003732,7342
2021-09-05,0.003732,0.004513,0.003528,0.004070,0.004070,15036
2021-09-06,0.004070,0.004398,0.004059,0.004176,0.004176,50090
2021-09-07,0.004175,0.004277,0.003428,0.003737,0.003737,46681
2021-09-08,0.003736,0.003786,0.003501,0.003679,0.003679,45141
2021-09-09,0.003687,0.003857,0.003591,0.003643,0.003643,50863
2021-09-10,0.003644,0.004110,0.003218,0.003505,0.003505,25093
2021-09-11,0.003506,0.003614,0.003414,0.003437,0.003437,50047
2021-09-12,0.003439,0.003614,0.003311,0.003425,0.003425,43173
2021-09-13,0.003423,0.003470,0.003216,0.003326,0.003326,43462
2021-09-14,0.003326,0.003626,0.002526,0.003372,0.003372,39147
2021-09-15,0.003374,0.003753,0.003366,0.003737,0.003737,39600
2021-09-16,0.003737,0.003754,0.003414,0.003499,0.003499,38609
2021-09-17,0.003499,0.003626,0.003413,0.003454,0.003454,37933
2021-09-18,0.003457,0.003672,0.003360,0.003449,0.003449,33249
2021-09-19,0.003451,0.003562,0.003299,0.003460,0.003460,29136
2021-09-20,0.003459,0.003708,0.003193,0.003262,0.003262,51630
2021-09-21,0.003260,0.003358,0.003012,0.003118,0.003118,46582
2021-09-22,0.003129,0.003304,0.002913,0.002982,0.002982,54482
2021-09-23,0.002981,0.003086,0.001079,0.002540,0.002540,30375
2021-09-24,0.002540,0.002723,0.002239,0.002398,0.002398,24276
2021-09-25,0.002398,0.002515,0.002251,0.002504,0.002504,24207
2021-09-26,0.002504,0.002631,0.002138,0.002546,0.002546,19804
2021-09-27,0.002545,0.002546,0.002302,0.002302,0.002302,18706
2021-09-28,0.002302,0.002501,0.001037,0.002405,0.002405,12651
2021-09-29,0.002409,0.003465,0.002407,0.003173,0.003173,28474
2021-09-30,0.003176,0.003350,0.003154,0.003231,0.003231,35663
2021-10-01,0.003232,0.003599,0.003193,0.003558,0.003558,48110
2021-10-02,0.003556,0.003660,0.003474,0.003532,0.003532,42153
2021-10-03,0.003531,0.003720,0.001650,0.003243,0.003243,34097
2021-10-04,0.003244,0.003459,0.003072,0.003216,0.003216,40361
2021-10-05,0.003216,0.003595,0.003202,0.003444,0.003444,52763
2021-10-06,0.003445,0.003722,0.001845,0.002949,0.002949,47459
2021-10-07,0.002947,0.003223,0.002436,0.002580,0.002580,30632
2021-10-08,0.002580,0.003538,0.002578,0.003203,0.003203,30340
2021-10-09,0.003204,0.003405,0.002717,0.002937,0.002937,60098
2021-10-10,0.002938,0.003065,0.002513,0.002718,0.002718,65737
2021-10-11,0.002716,0.003084,0.002630,0.003084,0.003084,49339
